off_rb,assist,effective_field_goal,turn_over,season,age,team,field_goal,points,field_goal_total,minutes_played,position,def_rb,stats_type,steal,block,game_played
194,58,.511,82,2009-10,22,DET,290,741,603,2232,PF,284,regular,79,29,80
96,43,.503,66,2011-12,24,DET,212,556,453,1468,PF,212,regular,41,21,64
68,43,.489,42,2012-13,25,DET,142,377,316,892,PF,117,regular,38,8,49
51,39,.546,43,2013-14,26,DET,98,270,208,741,PF,124,regular,21,6,64
93,71,.517,44,2014-15,27,TOT,169,448,379,1230,PF,189,regular,46,18,75
47,41,.530,26,2014-15,27,DET,91,241,198,703,PF,95,regular,27,11,46
46,30,.503,18,2014-15,27,BOS,78,207,181,527,PF,94,regular,19,7,29
77,62,.488,52,2015-16,28,BOS,118,340,286,1176,PF,211,regular,20,24,78
59,71,.521,39,2016-17,29,BOS,114,299,262,1232,PF,213,regular,25,17,78
4,1,.333,3,2014-15,27,BOS,5,11,15,68,PF,10,playoffs,2,1,4
7,10,.554,5,2015-16,28,BOS,22,55,46,162,PF,34,playoffs,2,4,6
7,12,.565,6,2016-17,29,BOS,15,43,31,128,PF,22,playoffs,5,3,12
