off_rb,assist,effective_field_goal,turn_over,season,age,team,field_goal,points,field_goal_total,minutes_played,position,def_rb,stats_type,steal,block,game_played
31,117,.417,83,2010-11,22,TOT,192,490,500,1027,SG,74,regular,39,3,42
9,15,.409,15,2010-11,22,ATL,27,67,77,160,SG,19,regular,3,0,16
22,102,.418,68,2010-11,22,WAS,165,423,423,867,SG,55,regular,36,3,26
44,190,.446,141,2011-12,23,WAS,349,938,872,1753,SG,124,regular,59,5,64
44,225,.472,141,2012-13,24,TOT,301,814,725,1709,SG,165,regular,39,7,70
31,157,.473,97,2012-13,24,WAS,211,568,508,1127,SG,104,regular,27,5,43
13,68,.470,44,2012-13,24,BOS,90,246,217,582,SG,61,regular,12,2,27
28,281,.472,134,2013-14,25,TOT,327,890,788,1859,SG-PG,155,regular,47,5,81
18,224,.468,84,2013-14,25,BOS,188,536,455,1198,PG,102,regular,34,3,39
10,57,.477,50,2013-14,25,GSW,139,354,333,661,SG,53,regular,13,2,42
4,57,.567,25,2016-17,28,NOP,105,267,218,442,SG,30,regular,11,2,19
0,0,.370,3,2012-13,24,BOS,7,18,23,59,SG,3,playoffs,2,0,5
4,2,.394,5,2013-14,25,GSW,12,37,33,57,SG,5,playoffs,1,0,6
