off_rb,assist,effective_field_goal,turn_over,season,age,team,field_goal,points,field_goal_total,minutes_played,position,def_rb,stats_type,steal,block,game_played
39,225,.552,108,2007-08,21,LAL,291,749,631,1690,PG,144,regular,77,5,82
22,155,.450,87,2008-09,22,LAL,161,416,412,1192,PG,95,regular,57,10,65
14,127,.518,72,2009-10,23,LAL,224,591,515,1474,PG,117,regular,52,11,82
24,368,.475,139,2010-11,24,NJN,255,701,651,1796,PG,149,regular,62,6,73
7,129,.554,68,2011-12,25,NJN,147,406,315,831,PG,54,regular,24,2,39
20,199,.511,95,2013-14,27,LAL,151,416,364,912,PG,84,regular,38,8,41
8,67,.497,32,2014-15,28,LAC,61,167,158,529,PG,34,regular,20,5,36
4,37,.500,18,2015-16,29,MEM,42,110,100,291,PG,21,regular,15,2,12
1,9,.500,3,2016-17,30,SAC,4,12,12,35,PG,2,regular,2,0,2
7,27,.457,17,2007-08,21,LAL,44,119,115,360,PG,26,playoffs,7,4,21
5,33,.460,18,2008-09,22,LAL,34,94,87,260,PG,23,playoffs,9,3,20
1,32,.511,20,2009-10,23,LAL,38,105,94,301,PG,26,playoffs,17,0,23
0,16,.387,10,2015-16,29,MEM,10,27,31,113,PG,6,playoffs,3,1,4
