off_rb,assist,effective_field_goal,turn_over,season,age,team,field_goal,points,field_goal_total,minutes_played,position,def_rb,stats_type,steal,block,game_played
2,2,.600,2,2007-08,20,POR,6,12,10,28,PF,8,regular,1,0,8
26,16,.422,12,2008-09,21,IND,35,80,83,279,PF,48,regular,12,16,33
40,44,.548,19,2009-10,22,IND,76,179,146,524,C,87,regular,17,16,42
109,150,.576,93,2010-11,23,IND,211,533,386,1597,PF,273,regular,47,57,72
61,51,.487,31,2011-12,24,LAL,56,138,118,718,PF,110,regular,15,18,50
93,141,.490,66,2012-13,25,TOT,156,401,343,1487,PF,232,regular,32,27,67
41,70,.448,28,2012-13,25,ORL,60,159,153,685,PF,96,regular,10,12,41
52,71,.524,38,2012-13,25,CHA,96,242,190,802,PF,136,regular,22,15,26
85,333,.529,83,2013-14,26,CHA,247,661,566,2360,PF,288,regular,58,46,78
7,33,.604,22,2014-15,27,MIA,28,72,53,296,PF,38,regular,12,3,17
22,81,.412,30,2015-16,28,MIA,55,150,148,595,PF,83,regular,18,7,42
23,50,.428,23,2016-17,29,MIA,44,107,118,381,PF,51,regular,10,4,22
8,6,.333,5,2010-11,23,IND,8,25,24,79,PF,10,playoffs,4,1,5
0,1,.250,2,2011-12,24,LAL,1,2,4,16,PF,4,playoffs,0,1,6
1,15,.576,6,2013-14,26,CHA,15,46,33,154,PF,26,playoffs,4,1,4
7,9,.471,4,2015-16,28,MIA,16,38,34,134,PF,19,playoffs,5,5,10
