off_rb,assist,effective_field_goal,turn_over,season,age,team,field_goal,points,field_goal_total,minutes_played,position,def_rb,stats_type,steal,block,game_played
5,22,.414,18,2012-13,23,GSW,43,123,116,267,SG,17,regular,17,4,61
10,91,.491,79,2013-14,24,TOT,147,403,343,911,SG,107,regular,43,13,67
5,20,.423,28,2013-14,24,GSW,36,101,97,268,SG,35,regular,12,6,44
5,71,.518,51,2013-14,24,LAL,111,302,246,643,SG,72,regular,31,7,23
21,78,.498,73,2014-15,25,ATL,141,390,331,1324,SG,201,regular,52,33,75
28,171,.517,138,2015-16,26,ATL,320,872,725,2083,SF,351,regular,98,38,75
45,177,.473,125,2016-17,27,ATL,295,801,721,1963,SF,186,regular,91,52,73
1,2,.125,2,2012-13,23,GSW,1,2,8,16,SG,4,playoffs,1,0,9
3,13,.465,11,2014-15,25,ATL,30,87,71,303,SG,50,playoffs,11,9,16
8,19,.430,10,2015-16,26,ATL,44,119,121,325,SF,58,playoffs,15,6,10
4,20,.462,16,2016-17,27,ATL,21,59,53,150,SF,19,playoffs,4,5,6
