off_rb,assist,effective_field_goal,turn_over,season,age,team,field_goal,points,field_goal_total,minutes_played,position,def_rb,stats_type,steal,block,game_played
24,133,.520,103,2011-12,21,GSW,318,826,718,1608,SG,137,regular,49,20,66
32,183,.509,157,2012-13,22,GSW,508,1359,1205,2936,SG,274,regular,86,45,82
38,181,.533,135,2013-14,23,GSW,559,1488,1259,2868,SG,211,regular,74,37,81
27,222,.555,149,2014-15,24,GSW,602,1668,1299,2455,SG,220,regular,87,60,77
35,166,.569,138,2015-16,25,GSW,651,1771,1386,2666,SG,271,regular,60,49,80
49,160,.565,128,2016-17,26,GSW,644,1742,1376,2649,SG,236,regular,66,40,78
9,22,.509,24,2012-13,22,GSW,76,182,174,495,SG,46,playoffs,12,7,12
4,25,.490,15,2013-14,23,GSW,40,115,98,257,SG,20,playoffs,7,5,7
9,54,.531,41,2014-15,24,GSW,149,391,334,761,SG,72,playoffs,16,19,21
15,54,.552,47,2015-16,25,GSW,201,582,453,849,SG,73,playoffs,26,9,24
11,35,.483,24,2016-17,26,GSW,94,255,237,596,SG,55,playoffs,14,5,17
