off_rb,assist,effective_field_goal,turn_over,season,age,team,field_goal,points,field_goal_total,minutes_played,position,def_rb,stats_type,steal,block,game_played
90,28,.483,47,2007-08,22,TOR,161,397,333,925,PF,169,regular,25,28,70
24,10,.422,8,2008-09,23,TOR,38,114,90,265,SF,46,regular,8,6,29
120,32,.441,66,2009-10,24,TOT,180,487,408,1221,PF,258,regular,36,48,69
38,7,.461,13,2009-10,24,DAL,53,131,115,315,PF,57,regular,7,11,25
82,25,.433,53,2009-10,24,NJN,127,356,293,906,PF,201,regular,29,37,44
225,84,.527,103,2010-11,25,NJN,307,741,583,2061,PF,546,regular,33,80,74
233,90,.481,119,2011-12,26,NJN,323,855,671,2162,PF,448,regular,50,74,62
126,32,.448,57,2012-13,27,BRK,139,375,310,1191,PF,239,regular,16,33,65
127,67,.501,64,2013-14,28,BOS,231,579,461,1376,PF,282,regular,31,61,69
118,57,.473,46,2014-15,29,WAS,211,509,446,1345,PF,298,regular,34,25,64
57,36,.468,38,2015-16,30,TOT,121,343,295,835,PF,161,regular,16,23,53
26,16,.478,20,2015-16,30,WAS,64,180,158,466,PF,89,regular,3,14,28
11,7,.319,4,2015-16,30,PHO,10,29,36,74,PF,21,regular,3,2,4
20,13,.505,14,2015-16,30,ATL,47,134,101,295,PF,51,regular,10,7,21
60,29,.451,28,2016-17,31,ATL,87,257,214,689,PF,146,regular,15,21,56
0,0,,0,2007-08,22,TOR,0,0,0,2,PF,0,playoffs,0,0,3
10,1,.452,2,2012-13,27,BRK,14,31,31,83,PF,13,playoffs,1,3,7
0,0,1.000,0,2014-15,29,WAS,1,2,1,5,PF,3,playoffs,0,0,1
8,4,.554,2,2015-16,30,ATL,13,37,28,56,PF,16,playoffs,2,5,4
0,0,,0,2016-17,31,ATL,0,0,0,3,PF,0,playoffs,0,1,1
