off_rb,assist,effective_field_goal,turn_over,season,age,team,field_goal,points,field_goal_total,minutes_played,position,def_rb,stats_type,steal,block,game_played
130,67,.492,46,2007-08,35,TOT,195,443,396,1584,C-PF,377,regular,56,57,70
94,53,.513,28,2007-08,35,SEA,139,317,271,1060,C,275,regular,35,43,42
36,14,.448,18,2007-08,35,SAS,56,126,125,524,PF,102,regular,21,14,28
134,66,.503,42,2008-09,36,SAS,153,343,304,1404,PF,271,regular,34,58,79
84,47,.476,48,2009-10,37,MIL,99,210,208,1049,C,207,regular,26,46,70
75,60,.513,42,2010-11,38,CHI,95,211,186,1178,PF,226,regular,32,42,52
39,46,.465,31,2011-12,39,POR,73,160,157,803,C,149,regular,24,31,53
24,21,.548,8,2012-13,40,NYK,45,97,83,392,PF,65,regular,10,16,39
26,6,.457,13,2007-08,35,SAS,32,69,70,268,PF,58,playoffs,2,6,17
4,2,.455,4,2008-09,36,SAS,5,13,11,80,PF,19,playoffs,1,2,5
12,11,.486,8,2009-10,37,MIL,17,38,35,199,C,43,playoffs,3,4,7
9,3,.556,3,2010-11,38,CHI,10,20,18,74,PF,10,playoffs,1,3,7
