off_rb,assist,effective_field_goal,turn_over,season,age,team,field_goal,points,field_goal_total,minutes_played,position,def_rb,stats_type,steal,block,game_played
47,34,.473,20,2011-12,22,PHI,79,169,167,624,PF,124,regular,13,18,41
159,73,.454,55,2012-13,23,PHI,206,455,454,1669,C,236,regular,24,55,79
119,71,.450,44,2013-14,24,TOT,134,303,300,1072,PF,192,regular,24,33,65
106,65,.444,40,2013-14,24,PHI,117,263,266,960,PF,171,regular,22,27,51
13,6,.500,4,2013-14,24,IND,17,40,34,112,PF,21,regular,2,6,14
123,73,.472,40,2014-15,25,IND,141,315,299,1070,C,200,regular,15,42,63
162,76,.516,69,2015-16,26,IND,191,428,370,1599,PF,262,regular,26,42,79
105,57,.458,29,2016-17,27,IND,77,177,168,871,PF,114,regular,18,24,61
21,3,.557,5,2011-12,22,PHI,34,75,61,236,PF,38,playoffs,10,11,12
1,1,.500,0,2013-14,24,IND,2,4,4,15,PF,4,playoffs,0,0,4
4,2,.300,1,2015-16,26,IND,3,6,10,51,PF,10,playoffs,1,1,6
0,0,,1,2016-17,27,IND,0,0,0,11,PF,2,playoffs,0,0,3
