off_rb,assist,effective_field_goal,turn_over,season,age,team,field_goal,points,field_goal_total,minutes_played,position,def_rb,stats_type,steal,block,game_played
95,15,.572,43,2007-08,24,BOS,154,445,269,809,C,132,regular,15,16,56
145,46,.524,76,2008-09,25,BOS,177,538,338,1227,PF,200,regular,24,38,70
19,0,.429,11,2009-10,26,CLE,21,79,49,236,SF,42,regular,6,2,20
24,7,.496,12,2010-11,27,TOT,59,158,119,328,C-PF,39,regular,10,4,30
16,2,.492,5,2010-11,27,CLE,29,70,59,187,PF,22,regular,7,3,14
8,5,.500,7,2010-11,27,MEM,30,88,60,141,C,17,regular,3,1,16
32,4,.493,12,2007-08,24,BOS,36,116,73,270,C,30,playoffs,0,3,23
1,0,.429,1,2008-09,25,BOS,3,10,7,24,PF,8,playoffs,0,0,2
1,0,.250,1,2009-10,26,CLE,1,5,4,9,SF,1,playoffs,0,0,3
2,0,.250,0,2010-11,27,MEM,2,7,8,14,C,2,playoffs,0,0,4
