off_rb,assist,effective_field_goal,turn_over,season,age,team,field_goal,points,field_goal_total,minutes_played,position,def_rb,stats_type,steal,block,game_played
7,0,.500,2,2007-08,25,PHI,8,18,16,64,PF,5,regular,1,1,16
128,28,.536,56,2008-09,26,PHO,134,321,250,1044,PF,142,regular,32,65,76
128,31,.551,57,2009-10,27,PHO,152,371,276,1168,PF,218,regular,24,73,79
81,17,.454,24,2010-11,28,GSW,83,200,183,691,PF,104,regular,14,33,46
94,14,.430,45,2011-12,29,IND,89,213,207,753,PF,128,regular,27,44,60
48,11,.395,19,2012-13,30,TOT,32,76,81,372,PF,58,regular,16,12,39
23,3,.368,11,2012-13,30,MIN,14,32,38,161,PF,24,regular,7,6,20
1,0,.000,0,2012-13,30,CHI,0,0,1,2,PF,0,regular,0,0,1
24,8,.429,8,2012-13,30,NOH,18,44,42,209,PF,34,regular,9,6,18
28,6,.500,14,2013-14,31,TOT,16,38,32,185,PF,27,regular,9,11,19
28,6,.500,14,2013-14,31,NOP,16,38,32,184,PF,27,regular,9,11,18
0,0,,0,2013-14,31,CHI,0,0,0,1,PF,0,regular,0,0,1
94,70,.427,62,2014-15,32,TOT,109,259,255,937,PF,174,regular,22,52,53
5,5,.333,5,2014-15,32,CLE,4,11,12,79,PF,15,regular,1,0,12
89,65,.432,57,2014-15,32,NYK,105,248,243,858,PF,159,regular,21,52,41
23,12,.358,15,2015-16,33,NYK,19,52,53,204,PF,26,regular,6,7,29
5,0,.500,0,2007-08,25,PHI,2,5,4,10,PF,2,playoffs,0,0,2
30,1,.528,6,2009-10,27,PHO,19,47,36,194,PF,26,playoffs,6,7,16
6,2,.522,4,2011-12,29,IND,12,27,23,94,PF,17,playoffs,2,5,11
