off_rb,assist,effective_field_goal,turn_over,season,age,team,field_goal,points,field_goal_total,minutes_played,position,def_rb,stats_type,steal,block,game_played
41,253,.461,125,2007-08,21,PHI,319,920,752,1862,PG,126,regular,81,13,80
36,242,.435,151,2008-09,22,PHI,336,1039,844,1919,SG,129,regular,85,14,81
25,268,.521,106,2009-10,23,PHI,318,898,677,1912,PG,162,regular,80,15,64
32,252,.462,102,2010-11,24,PHI,323,1027,795,1747,SG,117,regular,47,17,75
30,221,.460,71,2011-12,25,PHI,318,956,782,1682,PG,125,regular,53,18,64
8,139,.503,74,2012-13,26,ATL,187,551,443,1119,SG,72,regular,44,10,39
10,210,.480,92,2013-14,27,ATL,197,625,493,1445,PG,114,regular,45,4,60
24,164,.486,101,2014-15,28,TOR,375,1242,928,2016,SG,127,regular,88,10,80
31,167,.488,107,2015-16,29,LAL,283,1028,693,1907,SG,138,regular,62,19,67
26,239,.511,160,2016-17,30,TOT,428,1421,998,1994,SG,176,regular,80,20,81
14,183,.527,120,2016-17,30,LAL,326,1078,734,1403,SG,118,regular,65,11,58
12,56,.464,40,2016-17,30,HOU,102,343,264,591,SG,58,regular,15,9,23
3,12,.417,7,2007-08,21,PHI,24,72,60,135,PG,9,playoffs,6,0,6
2,17,.471,12,2008-09,22,PHI,21,58,51,149,SG,13,playoffs,3,1,6
0,15,.385,4,2010-11,24,PHI,17,54,52,130,SG,8,playoffs,5,0,5
3,39,.380,16,2011-12,25,PHI,50,149,142,358,PG,24,playoffs,13,0,13
0,8,.430,13,2013-14,27,ATL,19,58,50,133,PG,16,playoffs,7,1,7
2,5,.353,3,2014-15,28,TOR,16,51,51,102,SG,5,playoffs,6,0,4
7,14,.475,14,2016-17,30,HOU,50,138,118,272,SG,23,playoffs,7,1,11
