off_rb,assist,effective_field_goal,turn_over,season,age,team,field_goal,points,field_goal_total,minutes_played,position,def_rb,stats_type,steal,block,game_played
189,87,.462,100,2008-09,22,MIL,227,594,491,2114,PF,298,regular,87,45,82
171,81,.488,70,2009-10,23,MIL,177,453,369,1866,PF,229,regular,60,39,73
169,68,.463,77,2010-11,24,MIL,198,529,428,2093,PF,251,regular,72,28,79
77,29,.511,39,2011-12,25,MIL,133,333,261,1009,PF,150,regular,40,22,43
89,55,.418,70,2012-13,26,MIL,151,387,377,1326,SF,167,regular,42,14,58
56,36,.461,40,2013-14,27,TOT,87,224,193,1003,PF-SF,90,regular,30,14,64
9,15,.484,4,2013-14,27,SAC,15,40,32,196,SF,18,regular,9,5,9
47,21,.457,36,2013-14,27,MIN,72,184,161,807,PF,72,regular,21,9,55
82,106,.443,99,2014-15,28,PHI,251,660,636,1916,PF,246,regular,81,21,67
60,30,.486,34,2015-16,29,LAC,94,231,207,1274,PF,111,regular,44,19,75
44,39,.562,46,2016-17,30,LAC,191,484,378,1787,SF,126,regular,81,35,80
14,5,.520,7,2009-10,23,MIL,26,64,50,178,PF,25,playoffs,2,0,7
4,7,.435,5,2012-13,26,MIL,10,33,23,136,SF,10,playoffs,4,0,4
2,1,.667,2,2015-16,29,LAC,4,9,6,78,PF,8,playoffs,3,0,5
10,7,.453,3,2016-17,30,LAC,17,53,43,224,SF,25,playoffs,8,4,7
