off_rb,assist,effective_field_goal,turn_over,season,age,team,field_goal,points,field_goal_total,minutes_played,position,def_rb,stats_type,steal,block,game_played
13,241,.428,80,2007-08,26,SEA,147,393,368,1223,PG,81,regular,37,14,61
33,365,.447,128,2008-09,27,MIL,250,688,621,2033,PG,185,regular,92,16,72
24,324,.528,106,2009-10,28,MIL,328,852,686,1759,PG,119,regular,54,7,82
37,384,.528,158,2010-11,29,MIN,319,840,681,2159,PG,162,regular,89,10,71
19,252,.485,96,2011-12,30,MIN,242,639,550,1750,SG,122,regular,56,16,53
41,311,.493,130,2012-13,31,MIN,367,939,811,2474,SG,165,regular,82,15,82
23,176,.442,66,2013-14,32,TOT,126,306,327,1141,PG,74,regular,32,8,61
15,122,.441,46,2013-14,32,MIL,84,206,219,763,PG,47,regular,23,2,36
8,54,.444,20,2013-14,32,CHA,42,100,108,378,PG,27,regular,9,6,25
8,96,.483,38,2014-15,33,ORL,75,188,176,683,PG,60,regular,20,4,47
4,13,.522,10,2009-10,28,MIL,21,57,45,121,PG,9,playoffs,4,1,7
0,12,.385,4,2013-14,32,CHA,4,10,13,36,PG,4,playoffs,0,1,4
