off_rb,assist,effective_field_goal,turn_over,season,age,team,field_goal,points,field_goal_total,minutes_played,position,def_rb,stats_type,steal,block,game_played
136,155,.483,120,2007-08,22,CHI,429,1070,896,2128,SF,258,regular,57,29,63
80,94,.455,72,2008-09,23,CHI,265,690,591,1665,SF,215,regular,60,25,49
131,143,.482,134,2009-10,24,CHI,473,1230,1014,2651,SF,381,regular,66,61,70
116,230,.510,156,2010-11,25,CHI,531,1430,1155,3208,SF,360,regular,78,48,82
77,157,.464,96,2011-12,26,CHI,311,828,755,2129,SF,273,regular,56,36,54
162,222,.461,144,2012-13,27,CHI,466,1237,1093,2903,SF,314,regular,81,32,75
99,183,.465,114,2013-14,28,TOT,371,1011,860,2213,SF,262,regular,62,9,63
40,85,.476,59,2013-14,28,CHI,160,438,354,860,SF,118,regular,24,4,23
59,98,.457,55,2013-14,28,CLE,211,573,506,1353,SF,144,regular,38,5,40
103,139,.518,108,2014-15,29,MIA,369,1007,787,2421,SF,273,regular,65,22,72
108,140,.514,81,2015-16,30,MIA,339,911,745,2394,PF,335,regular,74,29,74
63,74,.447,43,2016-17,31,LAL,164,425,424,1486,SF,232,regular,48,20,56
8,7,.469,3,2009-10,24,CHI,37,94,80,203,SF,17,playoffs,6,4,5
27,43,.474,26,2010-11,25,CHI,98,270,230,687,SF,79,playoffs,24,10,16
8,9,.506,10,2011-12,26,CHI,36,84,79,228,SF,42,playoffs,5,9,6
5,19,.387,12,2012-13,27,CHI,32,69,84,224,SF,33,playoffs,5,3,5
19,22,.558,23,2015-16,30,MIA,65,186,138,495,PF,64,playoffs,13,9,14
