off_rb,assist,effective_field_goal,turn_over,season,age,team,field_goal,points,field_goal_total,minutes_played,position,def_rb,stats_type,steal,block,game_played
230,259,.455,118,2007-08,33,DEN,286,721,635,2758,C,807,regular,85,285,79
161,127,.513,93,2008-09,34,LAC,254,641,496,1925,C,529,regular,51,132,62
249,186,.477,91,2009-10,35,TOT,238,556,501,2314,PF-C,622,regular,95,146,74
166,151,.469,64,2009-10,35,LAC,166,394,356,1596,PF,450,regular,69,99,51
83,35,.497,27,2009-10,35,POR,72,162,145,718,C,172,regular,26,47,23
182,121,.398,62,2010-11,36,POR,117,277,294,1540,C,424,regular,40,92,59
157,107,.449,57,2011-12,37,TOT,128,287,287,1352,C,373,regular,50,85,59
105,75,.416,47,2011-12,37,POR,67,152,161,894,C,249,regular,33,56,40
52,32,.492,10,2011-12,37,HOU,61,135,126,458,C,124,regular,17,29,19
24,14,.321,15,2012-13,38,NYK,17,42,53,250,PF,56,regular,7,14,24
11,12,.262,10,2007-08,33,DEN,5,13,21,124,C,42,playoffs,4,12,4
16,14,.421,3,2009-10,35,POR,16,35,38,178,C,44,playoffs,4,7,6
18,8,.477,5,2010-11,36,POR,10,21,22,167,C,40,playoffs,4,9,6
1,0,1.000,1,2012-13,38,NYK,1,2,1,3,PF,1,playoffs,0,0,3
