off_rb,assist,effective_field_goal,turn_over,season,age,team,field_goal,points,field_goal_total,minutes_played,position,def_rb,stats_type,steal,block,game_played
123,30,.504,46,2008-09,21,PHI,252,608,502,1263,C,170,regular,27,56,79
85,36,.477,51,2009-10,22,PHI,212,532,444,1016,C,167,regular,29,34,62
64,30,.497,40,2010-11,23,PHI,144,344,291,734,C,146,regular,8,19,64
133,48,.453,74,2011-12,24,MEM,221,526,488,1345,PF,241,regular,21,29,60
146,47,.448,80,2012-13,25,TOT,260,658,584,1300,C,240,regular,24,53,79
76,18,.433,35,2012-13,25,MEM,106,262,247,579,C,113,regular,10,27,40
70,29,.458,45,2012-13,25,CLE,154,396,337,721,C,127,regular,14,26,39
101,32,.450,66,2013-14,26,GSW,195,508,442,982,C,189,regular,10,34,79
109,72,.496,82,2014-15,27,GSW,318,791,646,1207,C,216,regular,20,34,76
77,61,.458,66,2015-16,28,GSW,197,512,456,832,C,162,regular,19,34,72
88,65,.539,69,2016-17,29,LAC,244,711,548,1286,C,285,regular,23,41,82
3,0,.429,0,2008-09,21,PHI,3,9,7,29,C,3,playoffs,0,0,3
1,1,.167,0,2010-11,23,PHI,2,4,12,21,C,5,playoffs,0,1,2
13,2,.488,5,2011-12,24,MEM,20,46,41,100,PF,17,playoffs,3,3,7
9,3,.528,2,2013-14,26,GSW,19,44,36,68,C,13,playoffs,2,4,7
8,4,.333,4,2014-15,27,GSW,14,37,42,67,C,13,playoffs,4,3,10
15,11,.466,20,2015-16,28,GSW,46,134,118,201,C,32,playoffs,3,8,24
4,3,.527,3,2016-17,29,LAC,16,46,37,98,C,16,playoffs,2,3,7
