off_rb,assist,effective_field_goal,turn_over,season,age,team,field_goal,points,field_goal_total,minutes_played,position,def_rb,stats_type,steal,block,game_played
94,139,.483,85,2007-08,27,GSW,187,486,442,1414,PF,230,regular,48,36,73
79,212,.510,130,2008-09,28,PHO,285,788,674,2082,PF,342,regular,52,26,77
106,134,.546,112,2009-10,29,ORL,271,716,557,2097,SF,339,regular,59,30,81
73,71,.530,58,2010-11,30,LAL,131,356,279,1020,SF,155,regular,39,22,53
97,126,.512,73,2011-12,31,LAL,175,491,387,1440,SF,247,regular,35,48,63
111,123,.544,90,2012-13,32,LAC,312,822,675,2058,SF,255,regular,82,63,80
60,125,.530,85,2013-14,33,LAC,231,625,527,1735,SF,232,regular,56,28,63
51,114,.553,87,2014-15,34,LAC,277,764,624,2271,SF,251,regular,67,50,76
84,163,.467,121,2015-16,35,MEM,264,758,693,2190,SF,336,regular,78,57,76
70,195,.483,107,2016-17,36,TOT,185,527,473,1777,SF,314,regular,48,26,74
55,150,.474,83,2016-17,36,SAC,147,413,383,1367,SF,238,regular,36,17,54
15,45,.522,24,2016-17,36,GSW,38,114,90,410,SF,76,regular,12,9,20
16,19,.480,10,2009-10,29,ORL,30,89,75,326,SF,50,playoffs,10,3,14
11,5,.421,6,2010-11,30,LAL,15,36,38,131,SF,17,playoffs,7,2,10
9,16,.314,15,2011-12,31,LAL,16,39,59,185,SF,27,playoffs,10,5,11
7,3,.625,5,2012-13,32,LAC,24,71,44,162,SF,23,playoffs,4,2,6
22,23,.509,17,2013-14,33,LAC,45,122,107,404,SF,36,playoffs,12,3,13
16,22,.460,16,2014-15,34,LAC,38,107,100,409,SF,55,playoffs,20,10,14
5,11,.380,13,2015-16,35,MEM,16,43,46,139,SF,24,playoffs,4,1,4
0,7,.300,3,2016-17,36,GSW,4,9,15,61,SF,9,playoffs,2,0,12
