off_rb,assist,effective_field_goal,turn_over,season,age,team,field_goal,points,field_goal_total,minutes_played,position,def_rb,stats_type,steal,block,game_played
16,290,.488,119,2007-08,29,TOT,248,667,603,1573,PG,144,regular,54,4,48
11,75,.469,38,2007-08,29,SAC,78,203,192,473,PG,45,regular,19,2,15
5,215,.498,81,2007-08,29,ATL,170,464,411,1100,PG,99,regular,35,2,33
38,392,.518,128,2008-09,30,ATL,437,1176,1005,2740,PG,240,regular,98,11,79
20,310,.514,90,2009-10,31,ATL,268,730,644,2195,PG,164,regular,67,3,80
17,265,.563,101,2010-11,32,TOT,248,688,576,2285,PG,178,regular,50,9,80
15,202,.563,68,2010-11,32,ATL,192,526,441,1674,PG,128,regular,38,6,56
0,8,.111,1,2010-11,32,WAS,1,2,9,29,PG,3,regular,1,0,2
2,55,.595,32,2010-11,32,MIA,55,160,126,582,PG,47,regular,11,3,22
5,80,.391,20,2011-12,33,NYK,35,103,124,557,PG,54,regular,21,3,39
3,22,.392,13,2007-08,29,ATL,22,72,65,252,PG,19,playoffs,4,2,7
6,46,.585,24,2008-09,30,ATL,49,145,106,390,PG,31,playoffs,10,2,11
5,28,.538,12,2009-10,31,ATL,36,93,80,292,PG,23,playoffs,9,0,11
5,23,.370,17,2010-11,32,MIA,27,73,96,415,PG,31,playoffs,11,6,20
3,13,.543,4,2011-12,33,NYK,9,27,23,118,PG,18,playoffs,1,0,5
