off_rb,assist,effective_field_goal,turn_over,season,age,team,field_goal,points,field_goal_total,minutes_played,position,def_rb,stats_type,steal,block,game_played
21,222,.462,89,2007-08,20,MEM,189,498,442,1381,PG,118,regular,44,2,53
25,354,.503,143,2008-09,21,MEM,323,895,730,2508,PG,251,regular,90,8,82
30,425,.494,170,2009-10,22,MEM,369,959,830,2569,PG,161,regular,109,12,80
32,528,.486,176,2010-11,23,MEM,423,1107,953,2872,PG,215,regular,144,18,81
22,404,.477,125,2011-12,24,MEM,296,788,684,2174,PG,134,regular,136,11,62
43,487,.497,189,2012-13,25,MEM,414,1168,940,2757,PG,182,regular,174,24,80
41,441,.500,150,2013-14,26,MEM,463,1256,1030,2446,PG,172,regular,110,13,73
29,375,.506,156,2014-15,27,MEM,393,1107,882,2225,PG,180,regular,89,14,70
26,342,.478,84,2015-16,28,MEM,294,857,696,1761,PG,138,regular,67,16,56
31,433,.545,156,2016-17,29,MEM,464,1415,1009,2292,PG,210,regular,92,19,69
7,83,.418,30,2010-11,23,MEM,71,197,183,507,PG,43,playoffs,14,3,13
4,50,.493,16,2011-12,24,MEM,32,99,76,277,PG,19,playoffs,6,0,7
12,107,.426,34,2012-13,25,MEM,83,255,216,575,PG,59,playoffs,26,5,15
5,55,.446,15,2013-14,26,MEM,44,111,102,267,PG,27,playoffs,14,1,7
0,40,.479,12,2014-15,27,MEM,41,115,96,243,PG,9,playoffs,11,0,8
1,42,.568,12,2016-17,29,MEM,50,148,103,224,PG,19,playoffs,10,3,6
