off_rb,assist,effective_field_goal,turn_over,season,age,team,field_goal,points,field_goal_total,minutes_played,position,def_rb,stats_type,steal,block,game_played
59,288,.550,190,2007-08,27,IND,532,1565,1117,2953,SG,365,regular,86,31,82
14,44,.470,38,2008-09,28,IND,93,271,232,495,SG,54,regular,12,9,18
25,103,.478,72,2009-10,29,IND,229,666,558,1486,SF,211,regular,38,15,67
28,105,.560,69,2010-11,30,IND,240,682,520,1683,SG,248,regular,40,30,61
29,117,.557,58,2011-12,31,MIL,239,677,504,1445,SF,175,regular,28,8,55
31,145,.545,90,2012-13,32,MIL,276,785,624,1943,SF,260,regular,39,35,75
46,186,.510,108,2013-14,33,CHI,333,929,774,2584,SF,299,regular,64,46,82
28,114,.546,60,2014-15,34,CHI,209,595,481,1838,SF,220,regular,39,21,63
8,39,.513,26,2015-16,35,CHI,77,222,188,703,SF,75,regular,14,10,31
18,50,.543,28,2016-17,36,TOT,93,275,220,841,SF,97,regular,15,7,53
5,20,.511,14,2016-17,36,CLE,36,106,90,366,SF,42,regular,6,2,23
13,30,.565,14,2016-17,36,ATL,57,169,130,475,SF,55,regular,9,5,30
0,8,.425,1,2010-11,30,IND,7,25,20,72,SG,6,playoffs,4,0,5
3,8,.683,3,2012-13,32,MIL,17,49,30,91,SF,13,playoffs,2,0,4
5,12,.585,5,2013-14,33,CHI,25,66,53,163,SF,13,playoffs,3,1,5
7,31,.642,15,2014-15,34,CHI,43,131,88,389,SF,41,playoffs,10,5,12
1,2,.571,6,2016-17,36,ATL,3,12,7,53,SF,4,playoffs,1,0,6
