off_rb,assist,effective_field_goal,turn_over,season,age,team,field_goal,points,field_goal_total,minutes_played,position,def_rb,stats_type,steal,block,game_played
37,419,.528,182,2007-08,25,MIL,441,1137,919,2410,PG,193,regular,78,10,66
47,329,.548,179,2008-09,26,CLE,526,1443,1126,2834,PG,232,regular,69,9,81
28,368,.535,173,2009-10,27,CLE,378,1092,855,2359,PG,178,regular,70,21,69
21,380,.453,171,2010-11,28,TOT,291,812,730,1788,PG,132,regular,53,10,58
15,257,.424,105,2010-11,28,CLE,178,477,462,1065,PG,82,regular,33,10,36
6,123,.502,66,2010-11,28,LAC,113,335,268,723,PG,50,regular,20,0,22
23,160,.502,86,2011-12,29,LAC,260,685,611,1472,SG,76,regular,51,7,52
24,285,.485,125,2012-13,30,UTA,229,592,533,1418,PG,86,regular,46,9,46
42,321,.478,149,2013-14,31,POR,280,721,672,1834,PG,111,regular,55,10,74
22,424,.466,172,2014-15,32,TOT,341,964,860,1980,PG,152,regular,46,14,68
13,261,.469,102,2014-15,32,MIN,180,499,447,1149,PG,85,regular,30,8,41
9,163,.462,70,2014-15,32,CHO,161,465,413,831,PG,67,regular,16,6,27
6,98,.497,57,2015-16,33,CLE,132,338,302,748,PG,66,regular,14,5,41
9,58,.497,30,2008-09,26,CLE,80,228,196,541,PG,36,playoffs,10,1,14
3,59,.476,23,2009-10,27,CLE,52,158,127,411,PG,31,playoffs,6,2,11
1,15,.500,12,2011-12,29,LAC,41,106,94,229,SG,8,playoffs,6,5,11
2,15,.415,14,2013-14,31,POR,22,59,59,187,PG,10,playoffs,3,0,8
0,3,.339,10,2015-16,33,CLE,8,20,28,68,PG,6,playoffs,4,0,13
