off_rb,assist,effective_field_goal,turn_over,season,age,team,field_goal,points,field_goal_total,minutes_played,position,def_rb,stats_type,steal,block,game_played
51,212,.485,103,2007-08,23,NYK,331,913,782,1883,PG,171,regular,60,1,72
98,301,.498,139,2008-09,24,NYK,449,1272,1028,2209,PG,192,regular,95,6,74
28,163,.524,73,2009-10,25,TOT,215,567,493,1115,PG,82,regular,49,5,56
23,112,.528,53,2009-10,25,NYK,152,397,336,733,PG,49,regular,27,5,30
5,51,.516,20,2009-10,25,BOS,63,170,157,382,PG,33,regular,22,0,26
15,111,.485,68,2010-11,26,TOT,150,401,376,1013,PG,75,regular,29,4,59
15,105,.492,66,2010-11,26,BOS,146,388,361,983,PG,74,regular,29,4,55
0,6,.333,2,2010-11,26,OKC,4,13,15,30,PG,1,regular,0,0,4
15,231,.492,75,2011-12,27,GSW,205,570,484,1192,PG,85,regular,59,2,51
29,358,.510,144,2012-13,28,CHI,399,1074,921,2086,PG,155,regular,85,10,82
21,112,.504,58,2013-14,29,DEN,164,457,383,866,PG,60,regular,36,4,44
17,97,.406,30,2014-15,30,TOT,88,238,255,591,PG,33,regular,20,3,42
14,77,.407,22,2014-15,30,DEN,71,192,204,465,PG,25,regular,14,3,33
3,20,.402,8,2014-15,30,LAC,17,46,51,126,PG,8,regular,6,0,9
0,4,.000,0,2015-16,31,NOP,0,0,1,23,PG,0,regular,1,0,2
4,18,.461,7,2009-10,25,BOS,24,71,64,128,PG,10,playoffs,6,1,17
0,1,.429,0,2010-11,26,OKC,2,8,7,12,PG,0,playoffs,0,0,3
6,53,.503,32,2012-13,28,CHI,71,195,163,404,PG,26,playoffs,12,2,12
