off_rb,assist,effective_field_goal,turn_over,season,age,team,field_goal,points,field_goal_total,minutes_played,position,def_rb,stats_type,steal,block,game_played
254,113,.502,118,2007-08,27,SEA,322,767,641,2223,PF,476,regular,47,60,78
181,66,.568,73,2008-09,28,OKC,243,584,428,1831,C,308,regular,51,50,71
152,38,.591,63,2009-10,29,OKC,182,439,309,1557,C,232,regular,37,48,75
119,69,.566,55,2010-11,30,OKC,137,329,242,1524,C,197,regular,42,31,71
119,82,.597,61,2011-12,31,OKC,120,284,201,1307,PF,155,regular,33,28,63
123,121,.595,69,2012-13,32,OKC,176,412,296,1583,C,210,regular,51,30,81
116,104,.564,71,2013-14,33,OKC,134,338,241,1353,PF,177,regular,30,28,81
90,90,.451,45,2014-15,34,OKC,106,273,253,1101,PF,160,regular,35,25,66
68,52,.459,50,2015-16,35,OKC,50,123,109,699,PF,103,regular,15,16,59
9,12,.609,4,2016-17,36,OKC,14,33,23,128,PF,22,regular,2,2,20
12,2,.333,4,2009-10,29,OKC,8,19,24,129,C,16,playoffs,5,1,6
47,15,.632,13,2010-11,30,OKC,48,114,76,413,C,51,playoffs,15,15,17
30,19,.647,12,2011-12,31,OKC,33,69,51,332,PF,37,playoffs,12,5,20
25,12,.468,10,2012-13,32,OKC,22,55,47,178,C,26,playoffs,5,11,11
12,13,.448,6,2013-14,33,OKC,12,33,29,183,PF,26,playoffs,4,7,17
3,5,.667,1,2015-16,35,OKC,4,9,6,79,PF,8,playoffs,8,0,9
