off_rb,assist,effective_field_goal,turn_over,season,age,team,field_goal,points,field_goal_total,minutes_played,position,def_rb,stats_type,steal,block,game_played
23,63,.481,94,2007-08,22,WAS,210,561,478,1158,SG,92,regular,35,7,75
31,95,.481,92,2008-09,23,WAS,336,892,756,1837,SG,119,regular,39,20,82
20,48,.479,56,2009-10,24,WAS,233,639,558,1421,SG,82,regular,28,8,74
26,75,.497,90,2010-11,25,WAS,412,1115,935,2034,SG,148,regular,45,17,64
31,56,.469,83,2011-12,26,TOT,316,879,784,1729,SG,102,regular,44,17,62
20,46,.468,59,2011-12,26,WAS,240,665,591,1211,SG,77,regular,30,11,40
11,10,.472,24,2011-12,26,LAC,76,214,193,518,SG,25,regular,14,6,22
24,84,.482,50,2012-13,27,PHI,224,628,542,1411,SG,106,regular,36,14,59
29,95,.511,95,2013-14,28,LAL,387,1144,889,1810,SG,137,regular,46,12,64
17,41,.453,44,2014-15,29,LAL,174,563,476,1000,SG,79,regular,23,11,42
14,34,.442,30,2015-16,30,LAL,126,392,372,1033,SG,83,regular,23,7,54
25,58,.564,36,2016-17,31,LAL,272,791,633,1556,SG,113,regular,37,14,60
1,1,.111,1,2007-08,22,WAS,1,5,9,17,SG,1,playoffs,2,0,4
1,3,.560,7,2011-12,26,LAC,29,91,67,200,SG,11,playoffs,3,4,11
