off_rb,assist,effective_field_goal,turn_over,season,age,team,field_goal,points,field_goal_total,minutes_played,position,def_rb,stats_type,steal,block,game_played
84,74,.532,50,2008-09,20,POR,161,426,361,1454,SF,136,regular,50,40,79
32,44,.619,27,2009-10,21,POR,139,375,268,918,SF,109,regular,24,25,37
109,123,.528,83,2010-11,22,POR,367,990,807,2522,SF,252,regular,68,49,80
81,84,.534,90,2011-12,23,POR,289,818,641,1791,SF,190,regular,57,60,59
97,360,.522,190,2012-13,24,POR,352,1047,833,2807,SF,315,regular,91,83,73
116,420,.554,208,2013-14,25,POR,381,1070,819,2956,SF,495,regular,75,57,82
62,341,.483,132,2014-15,26,POR,240,664,600,2380,SF,354,regular,78,40,71
55,403,.506,205,2015-16,27,CHO,372,1046,873,2448,SF,373,regular,65,43,70
46,456,.472,194,2016-17,28,CHO,393,1164,975,2617,SG,435,regular,86,29,77
1,1,.667,3,2008-09,20,POR,5,12,9,63,SF,2,playoffs,1,2,6
4,5,.581,4,2009-10,21,POR,17,49,37,139,SF,15,playoffs,2,0,6
1,8,.489,7,2010-11,22,POR,19,48,46,151,SF,9,playoffs,5,5,6
10,53,.546,28,2013-14,25,POR,67,167,142,459,SF,74,playoffs,14,5,11
6,26,.436,12,2014-15,26,POR,24,71,70,209,SF,37,playoffs,1,1,5
2,10,.444,8,2015-16,27,CHO,17,57,45,144,SF,16,playoffs,2,0,5
