off_rb,assist,effective_field_goal,turn_over,season,age,team,field_goal,points,field_goal_total,minutes_played,position,def_rb,stats_type,steal,block,game_played
75,95,.502,98,2009-10,21,SAC,300,792,672,1931,SF,274,regular,54,17,77
74,74,.496,68,2010-11,22,SAC,225,610,546,1702,SF,233,regular,54,13,71
63,66,.467,64,2011-12,23,CLE,166,459,412,1341,SF,165,regular,37,21,65
20,28,.472,22,2012-13,24,CLE,63,173,160,503,SF,94,regular,25,12,43
55,88,.496,72,2013-14,25,HOU,173,490,410,1283,PF,205,regular,44,14,71
54,102,.530,88,2014-15,26,SAC,209,593,427,1416,SF,206,regular,31,9,67
58,95,.571,94,2015-16,27,SAC,299,813,622,1880,PF,352,regular,56,17,69
27,37,.515,29,2016-17,28,TOT,77,186,164,643,PF,85,regular,23,3,36
20,26,.500,17,2016-17,28,SAC,53,129,117,397,PF,70,regular,10,1,22
1,0,.667,2,2016-17,28,NOP,5,12,9,24,PF,1,regular,0,0,1
6,11,.526,10,2016-17,28,MIN,19,45,38,222,PF,14,regular,13,2,13
