off_rb,assist,effective_field_goal,turn_over,season,age,team,field_goal,points,field_goal_total,minutes_played,position,def_rb,stats_type,steal,block,game_played
86,41,.558,31,2010-11,21,HOU,149,328,267,868,PF,114,regular,17,37,52
112,53,.440,49,2011-12,22,HOU,225,490,511,1483,PF,174,regular,27,36,64
113,81,.553,61,2012-13,23,TOT,319,737,623,1775,PF,224,regular,31,40,71
73,51,.557,42,2012-13,23,HOU,236,544,455,1219,PF,148,regular,18,27,47
40,30,.542,19,2012-13,23,SAC,83,193,168,556,PF,76,regular,13,13,24
117,78,.516,65,2013-14,24,TOT,225,555,489,1533,PF,225,regular,55,37,65
34,15,.447,16,2013-14,24,SAC,50,118,122,415,PF,65,regular,13,3,17
83,63,.540,49,2013-14,24,TOR,175,437,367,1118,PF,160,regular,42,34,48
127,155,.547,54,2014-15,25,TOR,240,648,535,2156,PF,306,regular,60,44,81
77,94,.521,65,2015-16,26,TOR,204,543,493,2020,PF,265,regular,53,32,79
62,76,.523,38,2016-17,27,TOR,154,445,384,1599,PF,231,regular,40,23,65
12,9,.615,6,2013-14,24,TOR,26,73,48,199,PF,35,playoffs,3,3,7
4,5,.685,3,2014-15,25,TOR,15,41,27,106,PF,10,playoffs,3,0,4
29,24,.482,18,2015-16,26,TOR,55,153,136,583,PF,48,playoffs,7,9,20
1,20,.389,6,2016-17,27,TOR,10,34,36,185,PF,19,playoffs,7,2,10
