off_rb,assist,effective_field_goal,turn_over,season,age,team,field_goal,points,field_goal_total,minutes_played,position,def_rb,stats_type,steal,block,game_played
1,5,.458,4,2009-10,21,POR,10,26,24,38,PG,1,regular,0,0,10
19,109,.483,62,2010-11,22,POR,135,353,328,783,PG,32,regular,27,1,64
4,39,.577,26,2011-12,23,SAS,63,165,130,261,PG,24,regular,10,1,16
9,62,.577,39,2012-13,24,SAS,113,294,241,656,PG,41,regular,26,4,58
34,149,.565,63,2013-14,25,SAS,309,826,666,1527,PG,135,regular,68,9,81
21,87,.473,35,2014-15,26,SAS,128,351,336,801,PG,54,regular,28,2,51
27,226,.525,76,2015-16,27,SAS,260,690,612,1662,PG,131,regular,59,6,81
24,280,.558,101,2016-17,28,SAS,273,759,621,1754,PG,117,regular,65,3,80
0,3,.625,1,2009-10,21,POR,2,6,4,12,PG,0,playoffs,0,0,3
0,0,.000,1,2010-11,22,POR,0,0,2,5,PG,1,playoffs,0,0,2
1,5,.682,3,2011-12,23,SAS,6,15,11,31,PG,2,playoffs,1,0,8
1,2,.600,1,2012-13,24,SAS,5,12,10,31,PG,2,playoffs,0,0,9
3,33,.560,14,2013-14,25,SAS,63,168,141,351,PG,32,playoffs,17,1,23
4,8,.690,5,2014-15,26,SAS,21,71,42,112,PG,15,playoffs,2,0,7
0,20,.557,8,2015-16,27,SAS,23,66,53,167,PG,14,playoffs,7,0,10
5,43,.521,21,2016-17,28,SAS,57,165,140,416,PG,29,playoffs,13,1,16
