off_rb,assist,effective_field_goal,turn_over,season,age,team,field_goal,points,field_goal_total,minutes_played,position,def_rb,stats_type,steal,block,game_played
53,363,.529,221,2007-08,30,BOS,509,1570,1098,2874,SF,358,regular,101,36,80
56,294,.508,228,2008-09,31,BOS,540,1658,1181,3035,SF,401,regular,80,27,81
39,218,.535,166,2009-10,32,BOS,409,1296,867,2411,SF,271,regular,84,31,71
34,260,.551,171,2010-11,33,BOS,507,1511,1021,2774,SF,396,regular,80,51,80
37,274,.499,173,2011-12,34,BOS,394,1181,890,2075,SF,280,regular,70,26,61
45,370,.502,214,2012-13,35,BOS,476,1430,1092,2575,SF,442,regular,84,30,77
26,178,.529,153,2013-14,36,BRK,321,1010,712,2098,SF,322,regular,86,31,75
45,144,.537,92,2014-15,37,WAS,293,868,656,1914,SF,249,regular,46,24,73
12,71,.457,58,2015-16,38,LAC,144,417,397,1231,SF,174,regular,33,17,68
1,10,.507,16,2016-17,39,LAC,28,81,70,277,SF,47,regular,4,5,25
21,119,.499,82,2007-08,30,BOS,163,511,370,990,SF,108,playoffs,28,8,26
4,43,.473,33,2008-09,31,BOS,95,294,221,556,SF,77,playoffs,15,5,14
20,82,.497,64,2009-10,32,BOS,147,451,336,930,SF,123,playoffs,24,14,24
5,25,.530,24,2010-11,33,BOS,68,187,148,343,SF,40,playoffs,12,4,9
14,62,.429,56,2011-12,34,BOS,120,377,311,778,SF,107,playoffs,30,18,20
4,32,.420,32,2012-13,35,BOS,39,115,106,255,SF,30,playoffs,5,3,6
4,24,.539,20,2013-14,36,BRK,60,164,129,368,SF,50,playoffs,14,4,12
0,9,.652,10,2014-15,37,WAS,48,146,99,298,SF,42,playoffs,6,7,10
0,1,.208,2,2015-16,38,LAC,2,6,12,54,SF,6,playoffs,2,0,5
2,7,.556,4,2016-17,39,LAC,8,21,18,101,SF,12,playoffs,2,0,7
