off_rb,assist,effective_field_goal,turn_over,season,age,team,field_goal,points,field_goal_total,minutes_played,position,def_rb,stats_type,steal,block,game_played
64,96,.552,61,2007-08,30,NOH,451,1263,1026,2711,SF,267,regular,57,10,77
44,75,.500,51,2008-09,31,NOH,287,812,719,2089,SF,220,regular,52,3,61
39,92,.500,56,2009-10,32,NOH,278,784,688,1947,SF,188,regular,48,5,62
14,29,.566,17,2010-11,33,TOT,100,280,227,617,SF,61,regular,13,2,33
0,6,.591,4,2010-11,33,NOH,14,45,33,89,SF,6,regular,2,0,6
0,1,.900,2,2010-11,33,TOR,7,20,10,22,SF,3,regular,0,0,2
14,22,.543,11,2010-11,33,DAL,79,215,184,506,SF,52,regular,11,2,25
6,6,.541,8,2007-08,30,NOH,58,169,133,455,SF,59,playoffs,6,1,12
4,2,.449,6,2008-09,31,NOH,18,56,49,162,SF,10,playoffs,4,1,5
3,7,.529,9,2010-11,33,DAL,49,134,120,350,SF,29,playoffs,12,2,19
