off_rb,assist,effective_field_goal,turn_over,season,age,team,field_goal,points,field_goal_total,minutes_played,position,def_rb,stats_type,steal,block,game_played
16,36,.435,10,2007-08,28,NOH,91,252,260,875,SF,84,regular,15,21,51
49,75,.521,59,2008-09,29,NOH,348,922,803,2614,SF,222,regular,51,61,82
39,116,.493,79,2009-10,30,LAC,356,979,870,2702,SF,201,regular,36,68,82
10,27,.430,24,2010-11,31,TOT,79,222,237,770,SG,67,regular,8,15,47
10,27,.416,22,2010-11,31,LAC,73,206,226,744,SG,66,regular,8,15,41
0,0,.727,2,2010-11,31,CHI,6,16,11,26,SG,1,regular,0,0,6
6,19,.387,15,2011-12,32,TOR,41,110,133,453,SF,60,regular,7,5,34
6,17,.582,11,2013-14,34,IND,51,136,110,378,SG,35,regular,7,9,50
27,63,.510,48,2014-15,35,WAS,218,580,517,1505,SF,170,regular,29,22,75
3,24,.543,8,2015-16,36,SAS,49,124,104,432,SF,53,regular,13,23,46
3,1,.595,6,2008-09,29,NOH,17,53,37,158,SF,12,playoffs,1,4,5
0,0,1.500,0,2010-11,31,CHI,1,3,1,7,SG,1,playoffs,0,0,3
0,1,.567,1,2013-14,34,IND,6,19,15,70,SG,6,playoffs,1,1,11
0,1,.000,0,2014-15,35,WAS,0,0,1,7,SF,1,playoffs,0,0,2
