off_rb,assist,effective_field_goal,turn_over,season,age,team,field_goal,points,field_goal_total,minutes_played,position,def_rb,stats_type,steal,block,game_played
37,583,.441,213,2007-08,23,CHA,412,1140,997,2972,PG,199,regular,96,12,79
54,553,.435,228,2008-09,24,CHA,442,1162,1083,3086,PG,256,regular,126,30,82
53,446,.494,168,2009-10,25,CHA,388,968,846,2643,PG,235,regular,123,22,80
48,625,.483,221,2010-11,26,TOT,427,1164,1005,2737,PG-SG,221,regular,125,11,75
40,488,.478,176,2010-11,26,NYK,339,923,801,2074,PG,154,regular,97,11,54
8,137,.500,45,2010-11,26,DEN,88,241,204,663,SG,67,regular,28,0,21
27,390,.455,170,2011-12,27,POR,261,684,642,1906,PG,122,regular,78,10,60
51,372,.480,155,2012-13,28,NYK,377,948,882,2313,PG,143,regular,94,14,68
54,365,.446,129,2013-14,29,NYK,240,630,608,2017,PG,143,regular,78,27,65
2,41,.453,18,2014-15,30,DAL,43,108,106,281,PG,24,regular,11,4,29
36,284,.450,121,2015-16,31,DAL,277,763,682,2192,PG,222,regular,68,15,80
33,191,.475,83,2016-17,32,LAC,221,538,514,1700,PG,185,regular,66,22,80
3,20,.452,6,2009-10,25,CHA,17,47,42,130,PG,7,playoffs,2,0,4
0,21,.400,10,2010-11,26,DEN,18,58,50,152,SG,9,playoffs,6,0,5
17,56,.472,20,2012-13,28,NYK,72,169,162,454,PG,24,playoffs,20,5,12
1,4,.267,0,2014-15,30,DAL,4,11,15,36,PG,6,playoffs,0,0,3
2,23,.493,12,2015-16,31,DAL,32,75,69,172,PG,21,playoffs,6,0,5
2,10,.531,3,2016-17,32,LAC,15,39,32,127,PG,8,playoffs,6,0,7
