off_rb,assist,effective_field_goal,turn_over,season,age,team,field_goal,points,field_goal_total,minutes_played,position,def_rb,stats_type,steal,block,game_played
224,65,.441,108,2007-08,27,PHI,152,425,346,1879,PF,387,regular,86,8,81
135,26,.444,69,2008-09,28,PHI,79,262,178,1137,PF,226,regular,41,8,79
30,8,.493,22,2009-10,29,TOR,34,95,69,311,PF,75,regular,14,4,28
119,38,.408,39,2010-11,30,TOR,42,132,103,798,PF,226,regular,29,6,30
100,17,.472,44,2011-12,31,LAC,34,104,72,771,PF,171,regular,31,6,56
260,43,.479,111,2012-13,32,BRK,125,363,261,1967,PF,628,regular,74,13,80
115,21,.473,58,2013-14,33,TOT,71,214,150,899,PF,219,regular,37,3,54
53,5,.390,28,2013-14,33,BRK,23,81,59,399,PF,96,regular,13,2,30
62,16,.527,30,2013-14,33,SAC,48,133,91,500,PF,123,regular,24,1,24
97,32,.423,45,2014-15,34,SAC,58,176,137,764,PF,202,regular,22,5,47
16,3,.500,13,2007-08,27,PHI,13,41,26,148,PF,31,playoffs,5,0,6
2,0,.222,2,2008-09,28,PHI,2,7,9,36,PF,8,playoffs,3,0,5
20,1,.533,9,2011-12,31,LAC,8,33,15,198,PF,60,playoffs,9,6,11
16,6,.478,6,2012-13,32,BRK,11,32,23,209,PF,70,playoffs,7,2,7
