off_rb,assist,effective_field_goal,turn_over,season,age,team,field_goal,points,field_goal_total,minutes_played,position,def_rb,stats_type,steal,block,game_played
14,71,.362,36,2011-12,21,OKC,51,140,159,501,PG,39,regular,25,1,45
21,122,.495,53,2012-13,22,OKC,149,374,325,993,PG,145,regular,29,13,70
43,331,.485,168,2013-14,23,OKC,403,1047,916,2277,PG,270,regular,85,9,80
56,462,.470,186,2014-15,24,TOT,432,1117,996,2268,PG,271,regular,62,9,77
28,214,.470,91,2014-15,24,OKC,249,641,576,1398,PG,173,regular,42,5,50
28,248,.469,95,2014-15,24,DET,183,476,420,870,PG,98,regular,20,4,27
58,492,.482,223,2015-16,25,DET,540,1489,1244,2424,PG,195,regular,59,11,79
21,270,.468,114,2016-17,26,DET,284,752,677,1424,PG,93,regular,35,5,52
4,40,.534,21,2012-13,22,OKC,57,153,119,368,PG,50,playoffs,5,6,11
13,46,.531,38,2013-14,23,OKC,75,210,161,531,PG,59,playoffs,5,4,19
2,37,.482,10,2015-16,25,DET,25,57,55,147,PG,11,playoffs,6,2,4
