off_rb,assist,effective_field_goal,turn_over,season,age,team,field_goal,points,field_goal_total,minutes_played,position,def_rb,stats_type,steal,block,game_played
93,252,.495,199,2007-08,27,NJN,619,1857,1328,3200,SF,249,regular,76,21,82
57,199,.487,165,2008-09,28,MIL,537,1607,1222,2939,SF,317,regular,66,14,82
58,158,.505,105,2009-10,29,SAS,362,994,775,2520,SF,298,regular,45,40,81
54,107,.579,93,2010-11,30,SAS,304,891,642,2459,SF,256,regular,38,34,81
26,88,.532,50,2011-12,31,TOT,203,578,488,1748,SF,193,regular,37,19,63
18,55,.539,32,2011-12,31,SAS,132,379,319,1168,SF,125,regular,25,12,41
8,33,.518,18,2011-12,31,GSW,71,199,169,580,SF,68,regular,12,7,22
5,31,.507,23,2012-13,32,GSW,62,176,136,568,SF,79,regular,14,7,56
18,130,.544,94,2013-14,33,UTA,294,831,654,2213,SF,201,regular,56,14,82
25,61,.546,52,2014-15,34,DAL,144,432,324,1244,SF,158,regular,32,11,74
15,59,.564,43,2015-16,35,CLE,143,410,312,1326,SF,113,regular,33,14,74
28,78,.536,52,2016-17,36,CLE,153,448,343,1614,SF,175,regular,26,10,79
8,18,.493,15,2009-10,29,SAS,34,94,70,334,SF,45,playoffs,6,6,10
2,5,.484,6,2010-11,30,SAS,12,39,31,176,SF,23,playoffs,3,3,6
2,1,.556,0,2012-13,32,GSW,4,13,9,39,SF,5,playoffs,1,1,7
0,1,.464,3,2014-15,34,DAL,5,15,14,51,SF,2,playoffs,2,0,4
16,14,.589,13,2015-16,35,CLE,44,114,84,381,SF,58,playoffs,10,1,21
10,7,.487,8,2016-17,36,CLE,16,55,38,179,SF,15,playoffs,2,3,14
