off_rb,assist,effective_field_goal,turn_over,season,age,team,field_goal,points,field_goal_total,minutes_played,position,def_rb,stats_type,steal,block,game_played
52,8,.518,28,2008-09,20,PHO,71,189,137,614,C,66,regular,11,41,60
104,7,.588,41,2009-10,21,PHO,171,430,291,986,C,144,regular,10,53,51
82,8,.501,48,2010-11,22,PHO,179,432,357,991,C,134,regular,18,45,67
90,20,.461,43,2011-12,23,PHO,124,348,269,895,C,119,regular,18,60,64
226,64,.534,110,2012-13,24,NOH,384,929,719,2136,C,236,regular,32,128,82
326,73,.551,84,2013-14,25,POR,355,908,644,2603,C,374,regular,25,139,82
190,55,.535,73,2014-15,26,POR,234,566,437,1638,C,204,regular,16,84,59
268,114,.539,133,2015-16,27,NYK,357,842,662,2219,C,334,regular,16,129,82
244,80,.493,91,2016-17,28,CHI,382,839,775,2271,C,276,regular,18,117,81
12,0,.543,3,2009-10,21,PHO,19,47,35,104,C,12,playoffs,2,1,6
47,9,.489,11,2013-14,25,POR,43,110,88,367,C,54,playoffs,6,20,11
9,3,.600,5,2014-15,26,POR,9,26,15,117,C,13,playoffs,1,5,5
28,5,.654,8,2016-17,28,CHI,34,76,52,162,C,15,playoffs,3,6,6
