off_rb,assist,effective_field_goal,turn_over,season,age,team,field_goal,points,field_goal_total,minutes_played,position,def_rb,stats_type,steal,block,game_played
17,134,.552,69,2007-08,27,WAS,266,724,600,1708,PG,113,regular,40,18,80
16,173,.526,100,2008-09,28,SAS,349,969,822,2496,SG,235,regular,40,12,82
11,137,.478,59,2009-10,29,SAS,193,501,496,1515,SG,151,regular,30,14,79
5,20,.442,6,2010-11,30,NYK,26,75,77,319,SG,38,regular,6,2,26
7,47,.514,32,2011-12,31,WAS,103,286,258,697,SG,62,regular,13,5,52
11,74,.541,51,2012-13,32,NOH,132,369,305,1219,SG,121,regular,26,11,69
1,19,.500,9,2013-14,33,MIA,25,74,67,260,SG,21,regular,6,1,25
0,6,.447,2,2007-08,27,WAS,19,48,47,129,PG,5,playoffs,3,1,6
0,9,.484,4,2008-09,28,SAS,12,33,32,108,SG,8,playoffs,1,0,5
0,2,.125,2,2009-10,29,SAS,1,3,12,61,SG,4,playoffs,1,0,6
3,3,.528,1,2010-11,30,NYK,7,19,18,55,SG,1,playoffs,1,0,3
