off_rb,assist,effective_field_goal,turn_over,season,age,team,field_goal,points,field_goal_total,minutes_played,position,def_rb,stats_type,steal,block,game_played
97,134,.567,69,2007-08,22,UTA,354,914,634,2088,SG,121,regular,129,19,76
101,179,.522,110,2008-09,23,UTA,421,1111,828,2605,SF,199,regular,138,30,81
45,154,.497,53,2009-10,24,TOT,209,511,429,1742,SG,142,regular,91,15,58
44,151,.505,51,2009-10,24,UTA,206,501,416,1662,SG,136,regular,85,15,53
1,3,.231,2,2009-10,24,MEM,3,10,13,80,SG,6,regular,6,0,5
55,140,.487,55,2010-11,25,CHI,205,503,427,1781,SG,207,regular,106,22,81
72,137,.448,59,2011-12,26,CHI,190,455,445,1635,SG,159,regular,72,21,66
42,50,.412,18,2012-13,27,TOT,70,179,198,853,SF,98,regular,43,6,60
29,40,.429,14,2012-13,27,NYK,64,166,175,711,SF,71,regular,34,6,46
13,10,.283,4,2012-13,27,OKC,6,13,23,142,SF,27,regular,9,0,14
2,10,.233,2,2013-14,28,TOT,3,7,15,160,SF,12,regular,6,1,24
2,10,.233,2,2013-14,28,HOU,3,7,15,158,SF,12,regular,6,1,23
0,0,,0,2013-14,28,CHI,0,0,0,2,SF,0,regular,0,0,1
17,19,.526,4,2007-08,22,UTA,51,122,98,305,SG,21,playoffs,12,4,12
7,13,.408,11,2008-09,23,UTA,20,51,49,158,SF,16,playoffs,7,1,5
7,15,.510,4,2010-11,25,CHI,24,64,50,260,SG,27,playoffs,12,6,16
4,9,.250,6,2011-12,26,CHI,4,8,16,83,SG,15,playoffs,4,1,5
0,0,,0,2012-13,27,OKC,0,0,0,8,SF,1,playoffs,0,0,1
