off_rb,assist,effective_field_goal,turn_over,season,age,team,field_goal,points,field_goal_total,minutes_played,position,def_rb,stats_type,steal,block,game_played
95,128,.474,72,2007-08,25,LAL,188,516,397,1458,C,211,regular,28,108,78
88,166,.508,70,2008-09,26,GSW,186,470,366,1696,C,272,regular,34,168,79
54,90,.582,49,2009-10,27,GSW,85,207,146,872,C,137,regular,23,54,42
64,92,.632,41,2010-11,28,NYK,103,267,163,1141,C,143,regular,35,73,64
20,10,.576,14,2011-12,29,TOT,19,51,33,279,C,50,regular,14,17,17
1,5,1.000,6,2011-12,29,WAS,3,6,3,58,C,11,regular,6,3,4
19,5,.533,8,2011-12,29,MIA,16,45,30,221,C,39,regular,8,14,13
45,35,.505,29,2012-13,30,LAC,49,121,97,701,C,107,regular,19,35,65
55,24,.598,24,2013-14,31,MIN,64,149,107,606,C,119,regular,8,50,31
0,2,,0,2014-15,32,MIN,0,0,0,19,C,1,regular,0,0,2
6,5,.389,9,2007-08,25,LAL,14,38,36,187,C,21,playoffs,2,18,19
4,4,.667,3,2010-11,28,NYK,8,23,12,75,C,7,playoffs,1,6,4
11,1,.556,6,2011-12,29,MIA,10,23,18,121,C,20,playoffs,1,8,12
4,0,.700,2,2012-13,30,LAC,7,16,10,59,C,4,playoffs,1,3,5
