off_rb,assist,effective_field_goal,turn_over,season,age,team,field_goal,points,field_goal_total,minutes_played,position,def_rb,stats_type,steal,block,game_played
115,49,.471,55,2008-09,22,IND,198,494,420,1009,C,128,regular,20,76,70
177,158,.497,145,2009-10,23,IND,387,946,782,2035,C,287,regular,30,131,81
182,166,.461,185,2010-11,24,IND,410,1025,890,2244,C,428,regular,33,142,81
213,108,.497,128,2011-12,25,IND,332,834,668,1937,C,359,regular,32,128,65
296,113,.449,162,2012-13,26,IND,385,937,859,2269,C,360,regular,39,206,79
202,91,.440,148,2013-14,27,IND,331,871,754,2409,C,336,regular,29,182,81
156,84,.446,107,2014-15,28,IND,317,802,710,1926,C,384,regular,18,125,76
132,95,.443,76,2015-16,29,LAL,182,481,411,1878,C,266,regular,32,110,81
54,21,.544,32,2016-17,30,TOT,80,221,147,682,C,98,regular,8,46,48
53,20,.542,31,2016-17,30,CHO,78,217,144,671,C,97,regular,8,44,42
1,1,.667,1,2016-17,30,DEN,2,4,3,11,C,1,regular,0,2,6
15,3,.444,13,2010-11,24,IND,20,52,45,132,C,19,playoffs,2,9,5
45,12,.505,22,2011-12,25,IND,52,129,104,340,C,78,playoffs,4,34,11
90,26,.511,43,2012-13,26,IND,120,323,235,694,C,98,playoffs,3,37,19
44,17,.449,25,2013-14,27,IND,66,176,147,542,C,61,playoffs,4,26,19
