off_rb,assist,effective_field_goal,turn_over,season,age,team,field_goal,points,field_goal_total,minutes_played,position,def_rb,stats_type,steal,block,game_played
104,52,.478,63,2008-09,20,NJN,160,487,407,1312,PF,207,regular,44,20,66
70,37,.536,56,2009-10,21,ORL,169,487,388,911,PF,132,regular,25,14,63
129,52,.558,49,2010-11,22,ORL,226,681,525,1424,PF,226,regular,30,38,64
224,54,.548,57,2011-12,23,ORL,332,980,757,1964,PF,247,regular,50,26,61
191,97,.519,97,2012-13,24,NOH,472,1309,1115,2503,PF,328,regular,42,31,81
66,17,.532,20,2013-14,25,NOP,155,436,354,795,PF,76,regular,10,7,22
108,55,.483,62,2014-15,26,NOP,291,833,729,1675,PF,187,regular,33,20,61
131,73,.498,90,2015-16,27,NOP,397,1124,929,2008,PF,265,regular,38,25,66
112,68,.550,55,2016-17,28,HOU,323,979,773,2116,PF,218,regular,31,14,72
8,3,.379,5,2009-10,21,ORL,9,23,29,89,PF,23,playoffs,2,2,9
10,3,.367,1,2010-11,22,ORL,8,28,30,147,PF,17,playoffs,5,1,6
9,4,.477,9,2011-12,23,ORL,15,48,44,172,PF,14,playoffs,3,2,5
7,9,.514,4,2014-15,26,NOP,16,43,36,95,PF,10,playoffs,0,2,4
15,7,.484,9,2016-17,28,HOU,36,103,92,336,PF,42,playoffs,4,2,11
