off_rb,assist,effective_field_goal,turn_over,season,age,team,field_goal,points,field_goal_total,minutes_played,position,def_rb,stats_type,steal,block,game_played
35,82,.404,55,2007-08,24,CLE,146,379,403,1188,SG,93,regular,29,6,51
31,72,.509,48,2008-09,25,CLE,116,305,275,1053,SF,96,regular,22,16,66
12,58,.422,53,2009-10,26,MIN,109,263,300,877,SF,105,regular,23,6,71
1,16,.486,12,2010-11,27,TOT,29,76,72,362,SF-SG,31,regular,10,7,31
0,7,.529,5,2010-11,27,DAL,15,41,35,163,SF,12,regular,5,3,10
0,6,.182,1,2010-11,27,NOH,2,4,11,50,SG,6,regular,0,4,4
1,3,.558,6,2010-11,27,BOS,12,31,26,149,SG,13,regular,5,0,17
4,18,.457,20,2011-12,28,BOS,50,120,128,527,SF,68,regular,20,15,45
7,32,.429,14,2012-13,29,POR,42,103,119,528,SG,49,regular,24,5,39
6,1,.462,2,2007-08,24,CLE,10,28,26,111,SG,4,playoffs,2,0,8
1,4,.550,3,2008-09,25,CLE,10,23,20,91,SF,14,playoffs,4,0,11
2,1,.389,4,2011-12,28,BOS,3,7,9,40,SF,3,playoffs,1,1,10
