off_rb,assist,effective_field_goal,turn_over,season,age,team,field_goal,points,field_goal_total,minutes_played,position,def_rb,stats_type,steal,block,game_played
19,72,.577,52,2007-08,23,LAL,219,632,482,1279,SG,135,regular,36,5,72
19,113,.488,35,2008-09,24,LAL,155,461,401,1293,SG,116,regular,77,7,80
25,41,.479,17,2009-10,25,LAL,66,185,164,575,SG,54,regular,20,4,67
30,132,.483,66,2010-11,26,TOT,239,656,595,1648,SG,156,regular,54,5,67
1,5,.413,5,2010-11,26,LAL,8,20,23,54,SG,3,regular,1,0,11
29,127,.486,61,2010-11,26,NJN,231,636,572,1594,SG,153,regular,53,5,56
0,0,.500,3,2013-14,29,LAC,2,5,5,10,SG,3,regular,1,0,2
26,84,.477,44,2015-16,31,NYK,106,296,277,908,SG,123,regular,34,5,61
12,52,.393,16,2016-17,32,NYK,42,124,136,408,SG,47,regular,13,2,42
8,16,.511,18,2007-08,23,LAL,55,171,138,456,SG,38,playoffs,12,4,21
7,12,.352,10,2008-09,24,LAL,24,69,91,250,SG,25,playoffs,10,4,23
3,5,.565,3,2009-10,25,LAL,10,31,23,76,SG,5,playoffs,2,0,10
