off_rb,assist,effective_field_goal,turn_over,season,age,team,field_goal,points,field_goal_total,minutes_played,position,def_rb,stats_type,steal,block,game_played
6,17,.385,24,2007-08,22,TOT,44,114,126,240,SG,14,regular,11,3,21
5,17,.410,19,2007-08,22,CLE,41,105,111,218,SG,13,regular,10,1,15
1,0,.200,5,2007-08,22,CHI,3,9,15,22,SG,1,regular,1,2,6
11,38,.515,38,2008-09,23,TOT,78,202,165,477,SG,33,regular,22,7,48
8,28,.488,29,2008-09,23,CHA,56,144,123,341,SG,16,regular,18,5,30
3,10,.595,9,2008-09,23,LAL,22,58,42,136,SG,17,regular,4,2,18
30,108,.480,67,2009-10,24,LAL,253,667,592,1700,SG,153,regular,57,31,82
35,96,.482,75,2010-11,25,LAL,273,712,643,1568,SG,122,regular,67,16,82
38,69,.477,64,2011-12,26,PHO,251,650,598,1400,SG,119,regular,44,15,59
44,108,.454,74,2012-13,27,PHO,240,617,571,1402,SG,105,regular,59,15,59
7,9,.364,18,2013-14,28,TOT,24,63,66,251,SG,21,regular,13,0,29
1,5,.286,8,2013-14,28,SAS,8,23,28,103,SG,12,regular,1,0,10
6,4,.421,10,2013-14,28,NYK,16,40,38,148,SG,9,regular,12,0,19
0,3,.447,4,2014-15,29,MIA,7,20,19,89,SG,1,regular,4,0,5
8,13,.506,10,2008-09,23,LAL,36,103,83,276,SG,17,playoffs,10,2,21
7,20,.435,13,2009-10,24,LAL,42,113,107,324,SG,22,playoffs,10,7,23
5,7,.516,9,2010-11,25,LAL,28,72,61,166,SG,14,playoffs,6,2,10
