off_rb,assist,effective_field_goal,turn_over,season,age,team,field_goal,points,field_goal_total,minutes_played,position,def_rb,stats_type,steal,block,game_played
12,131,.427,48,2011-12,21,WAS,88,230,220,779,PG,80,regular,28,2,64
3,68,.532,34,2012-13,22,TOT,58,143,126,416,PG-SG,37,regular,15,0,31
3,23,.450,8,2012-13,22,WAS,16,37,40,141,PG,13,regular,6,0,7
0,1,.500,2,2012-13,22,PHI,1,2,2,7,SG,0,regular,0,0,4
0,44,.571,24,2012-13,22,ATL,41,104,84,268,PG,24,regular,9,0,20
21,271,.479,89,2013-14,23,ATL,209,544,501,1490,PG,139,regular,50,2,73
8,155,.469,49,2014-15,24,ATL,117,299,292,833,PG,71,regular,30,2,55
13,187,.486,95,2015-16,25,TOT,182,448,415,1058,PG,115,regular,34,3,52
2,38,.442,14,2015-16,25,ATL,40,93,95,179,PG,20,regular,8,0,24
11,149,.498,81,2015-16,25,UTA,142,355,320,879,PG,95,regular,26,3,28
20,154,.495,90,2016-17,26,UTA,170,430,381,1205,PG,105,regular,42,3,55
3,7,.556,0,2012-13,22,ATL,4,10,9,22,PG,4,playoffs,0,0,4
3,25,.511,6,2013-14,23,ATL,19,57,47,118,PG,10,playoffs,4,0,7
2,10,.462,2,2014-15,24,ATL,15,39,39,99,PG,9,playoffs,8,0,10
3,18,.418,9,2016-17,26,UTA,17,54,49,155,PG,22,playoffs,4,0,9
