off_rb,assist,effective_field_goal,turn_over,season,age,team,field_goal,points,field_goal_total,minutes_played,position,def_rb,stats_type,steal,block,game_played
68,44,.465,56,2007-08,19,SAC,146,334,318,931,C,162,regular,14,40,71
148,149,.491,160,2008-09,20,SAC,373,876,800,2259,C,401,regular,44,93,77
145,158,.488,131,2009-10,21,SAC,312,723,666,1904,C,291,regular,32,83,72
129,121,.473,97,2010-11,22,PHI,264,584,568,1718,C,336,regular,29,71,81
78,98,.494,55,2011-12,23,PHI,156,355,319,920,C,192,regular,16,48,37
173,183,.483,131,2012-13,24,PHI,376,905,811,2233,C,417,regular,24,113,82
131,240,.529,173,2013-14,25,TOT,403,1053,883,2470,C,529,regular,44,94,80
88,176,.520,119,2013-14,25,PHI,264,688,586,1666,C,364,regular,31,67,53
43,64,.547,54,2013-14,25,CLE,139,365,297,804,C,165,regular,13,27,27
30,88,.459,61,2014-15,26,LAC,163,425,415,1274,PF,228,regular,24,53,73
51,109,.467,58,2015-16,27,CHO,124,340,306,1035,PF,193,regular,22,27,57
38,81,.529,49,2016-17,28,TOT,134,337,277,797,PF,153,regular,15,30,54
32,62,.514,40,2016-17,28,CHO,104,254,218,626,PF,114,regular,13,26,35
6,19,.585,9,2016-17,28,MIL,30,83,59,171,PF,39,regular,2,4,19
5,9,.364,2,2010-11,22,PHI,12,26,33,98,C,14,playoffs,0,2,5
18,21,.472,22,2011-12,23,PHI,50,121,108,332,C,68,playoffs,4,11,13
3,5,.618,1,2014-15,26,LAC,9,23,17,57,PF,10,playoffs,2,3,8
3,3,.500,4,2015-16,27,CHO,6,18,13,53,PF,13,playoffs,1,2,5
2,1,.500,1,2016-17,28,MIL,2,5,5,17,PF,2,playoffs,0,1,3
