off_rb,assist,effective_field_goal,turn_over,season,age,team,field_goal,points,field_goal_total,minutes_played,position,def_rb,stats_type,steal,block,game_played
48,472,.535,243,2009-10,21,GSW,528,1399,1143,2896,PG,308,regular,152,19,80
52,432,.551,226,2010-11,22,GSW,505,1373,1053,2489,PG,234,regular,109,20,74
15,138,.583,65,2011-12,23,GSW,145,383,296,732,PG,73,regular,39,8,26
59,539,.549,240,2012-13,24,GSW,626,1786,1388,2983,PG,255,regular,126,12,78
46,666,.566,294,2013-14,25,GSW,652,1873,1383,2846,PG,288,regular,128,14,78
56,619,.594,249,2014-15,26,GSW,653,1900,1341,2613,PG,285,regular,163,16,80
68,527,.630,262,2015-16,27,GSW,805,2375,1598,2700,PG,362,regular,169,15,79
61,524,.580,239,2016-17,28,GSW,675,1999,1443,2638,PG,292,regular,142,17,79
5,97,.523,40,2012-13,24,GSW,102,281,235,497,PG,41,playoffs,20,2,12
4,59,.534,26,2013-14,25,GSW,51,161,116,296,PG,21,playoffs,12,1,7
20,134,.567,82,2014-15,26,GSW,200,594,439,826,PG,85,playoffs,39,3,21
14,93,.556,75,2015-16,27,GSW,148,452,338,614,PG,85,playoffs,26,5,18
22,114,.599,58,2016-17,28,GSW,151,477,312,601,PG,84,playoffs,34,4,17
