off_rb,assist,effective_field_goal,turn_over,season,age,team,field_goal,points,field_goal_total,minutes_played,position,def_rb,stats_type,steal,block,game_played
31,413,.502,113,2007-08,27,POR,261,692,640,2424,PG,164,regular,55,4,81
28,348,.536,108,2008-09,28,POR,277,757,647,2188,PG,145,regular,69,4,69
21,380,.527,128,2009-10,29,TOT,217,586,522,2159,PG,166,regular,58,6,80
15,203,.513,65,2009-10,29,POR,143,388,355,1397,PG,103,regular,37,2,51
6,177,.557,63,2009-10,29,LAC,74,198,167,762,PG,63,regular,21,4,29
19,170,.479,73,2010-11,30,LAL,110,319,306,1581,PG,137,regular,40,3,79
9,175,.476,72,2011-12,31,LAL,101,276,268,1237,PG,76,regular,39,2,53
21,173,.556,62,2012-13,32,LAL,114,327,270,1175,PG,111,regular,34,6,45
13,307,.489,102,2013-14,33,TOT,133,378,353,1498,PG,146,regular,54,8,55
8,205,.489,71,2013-14,33,LAL,88,256,233,891,PG,95,regular,34,2,27
5,102,.488,31,2013-14,33,GSW,45,122,120,607,PG,51,regular,20,6,28
16,288,.491,104,2014-15,34,POR,122,350,327,1529,PG,121,regular,41,5,81
9,200,.496,81,2015-16,35,DET,93,254,240,986,PG,80,regular,24,5,58
4,37,.600,9,2008-09,28,POR,22,59,45,231,PG,20,playoffs,5,0,6
1,20,.435,5,2010-11,30,LAL,7,20,23,145,PG,13,playoffs,5,0,9
8,27,.565,15,2011-12,31,LAL,26,75,62,306,PG,26,playoffs,8,2,12
0,5,.482,4,2012-13,32,LAL,11,28,28,75,PG,8,playoffs,4,3,2
1,2,.458,2,2013-14,33,GSW,4,11,12,45,PG,3,playoffs,0,0,6
0,8,.227,2,2014-15,34,POR,2,7,11,43,PG,1,playoffs,0,1,5
0,10,.300,5,2015-16,35,DET,1,4,5,43,PG,4,playoffs,0,0,4
