off_rb,assist,effective_field_goal,turn_over,season,age,team,field_goal,points,field_goal_total,minutes_played,position,def_rb,stats_type,steal,block,game_played
50,129,.462,93,2007-08,23,CHI,180,464,421,1436,SG,205,regular,61,30,69
54,111,.459,64,2008-09,24,TOT,152,389,357,1453,SF-SG,188,regular,75,45,66
26,65,.475,37,2008-09,24,CHI,79,194,182,735,SF,97,regular,35,19,43
28,46,.443,27,2008-09,24,OKC,73,195,175,718,SG,91,regular,40,26,23
76,145,.486,90,2009-10,25,OKC,194,489,441,2348,SG,311,regular,97,46,82
65,111,.514,55,2010-11,26,OKC,157,401,333,2049,SG,281,regular,97,38,79
21,47,.532,40,2011-12,27,OKC,67,203,155,914,SG,107,regular,37,17,42
58,125,.597,64,2012-13,28,OKC,224,613,466,2229,SG,259,regular,103,44,81
50,94,.485,55,2013-14,29,OKC,141,383,340,1584,SG,170,regular,79,17,61
53,75,.468,38,2014-15,30,ATL,104,278,249,976,SF,170,regular,53,21,52
52,107,.562,68,2015-16,31,ATL,188,480,372,1758,SF,282,regular,85,37,75
54,107,.492,58,2016-17,32,ATL,174,444,395,1596,SF,216,regular,96,31,62
3,7,.352,2,2009-10,25,OKC,8,27,27,127,SG,15,playoffs,5,6,6
12,12,.493,15,2010-11,26,OKC,31,79,67,344,SG,41,playoffs,16,5,17
11,26,.480,11,2011-12,27,OKC,41,106,102,446,SG,42,playoffs,30,9,20
13,23,.443,8,2012-13,28,OKC,21,63,61,300,SG,36,playoffs,12,5,11
7,10,.473,7,2013-14,29,OKC,23,56,55,236,SG,24,playoffs,10,0,15
8,17,.554,10,2015-16,31,ATL,22,59,46,203,SF,33,playoffs,10,6,10
0,0,.000,0,2016-17,32,ATL,0,1,1,9,SF,0,playoffs,0,0,4
