off_rb,assist,effective_field_goal,turn_over,season,age,team,field_goal,points,field_goal_total,minutes_played,position,def_rb,stats_type,steal,block,game_played
72,26,.529,32,2010-11,26,SAS,101,278,191,738,C,129,regular,29,17,60
93,65,.618,87,2011-12,27,SAS,212,549,343,1121,C,213,regular,21,47,59
144,130,.560,100,2012-13,28,SAS,315,838,563,1997,PF,371,regular,63,64,81
123,90,.523,75,2013-14,29,SAS,181,483,346,1271,C,240,regular,29,31,59
91,78,.558,60,2014-15,30,SAS,169,428,303,1030,C,161,regular,35,37,52
45,30,.523,24,2015-16,31,ATL,81,201,155,579,C,75,regular,20,12,36
8,4,.484,6,2016-17,32,PHI,14,39,31,76,C,14,regular,1,1,8
7,1,.625,2,2010-11,26,SAS,10,20,16,50,C,7,playoffs,3,1,3
8,10,.638,9,2011-12,27,SAS,30,76,47,168,C,28,playoffs,5,4,13
21,23,.536,24,2012-13,28,SAS,45,116,84,388,PF,37,playoffs,15,14,19
45,46,.610,18,2013-14,29,SAS,61,173,100,516,C,95,playoffs,16,11,23
13,9,.375,7,2014-15,30,SAS,9,24,24,123,C,18,playoffs,4,1,7
