off_rb,assist,effective_field_goal,turn_over,season,age,team,field_goal,points,field_goal_total,minutes_played,position,def_rb,stats_type,steal,block,game_played
46,15,.474,35,2010-11,24,TOT,63,163,133,524,C,75,regular,15,25,45
41,15,.464,32,2010-11,24,NYK,52,135,112,458,C,63,regular,14,23,34
5,0,.524,3,2010-11,24,DEN,11,28,21,66,C,12,regular,1,2,11
53,22,.526,53,2011-12,25,DEN,100,239,190,687,C,126,regular,15,42,44
50,9,.506,25,2012-13,26,DEN,44,108,87,366,C,57,regular,6,18,41
171,62,.527,122,2013-14,27,DEN,285,770,545,1770,C,357,regular,27,100,82
203,55,.557,116,2014-15,28,TOT,314,785,566,2045,C,388,regular,33,97,81
91,16,.509,47,2014-15,28,DEN,117,299,232,897,C,181,regular,15,41,35
112,39,.590,69,2014-15,28,CLE,197,486,334,1148,C,207,regular,18,56,46
110,33,.567,71,2015-16,29,CLE,203,475,359,1326,C,227,regular,22,57,76
104,43,.515,72,2016-17,30,LAL,169,401,328,1104,C,160,regular,16,31,54
10,3,.480,5,2011-12,25,DEN,12,28,25,99,C,13,playoffs,2,6,7
57,13,.500,37,2014-15,28,CLE,74,212,148,529,C,89,playoffs,8,36,20
5,2,.400,8,2015-16,29,CLE,6,15,15,76,C,16,playoffs,3,3,13
