off_rb,assist,effective_field_goal,turn_over,season,age,team,field_goal,points,field_goal_total,minutes_played,position,def_rb,stats_type,steal,block,game_played
30,22,.485,31,2011-12,19,MIL,79,208,169,479,SF,71,regular,13,7,42
73,69,.488,66,2012-13,20,TOT,233,603,512,1299,SF-PF,214,regular,32,44,55
17,13,.491,18,2012-13,20,MIL,53,136,115,325,SF,40,regular,8,7,28
56,56,.487,48,2012-13,20,ORL,180,467,397,974,PF,174,regular,24,37,27
88,82,.486,78,2013-14,21,ORL,332,893,716,1850,PF,336,regular,41,24,61
73,124,.512,115,2014-15,22,ORL,442,1164,949,2369,SF,357,regular,69,36,68
96,169,.514,108,2015-16,23,TOT,417,1116,889,2513,PF,414,regular,65,40,76
71,99,.507,78,2015-16,23,ORL,251,669,541,1610,PF,271,regular,47,28,49
25,70,.524,30,2015-16,23,DET,166,447,348,903,PF,143,regular,18,12,27
63,142,.532,96,2016-17,24,DET,511,1321,1063,2567,PF,353,regular,60,39,82
6,12,.500,6,2015-16,23,DET,21,58,46,156,PF,32,playoffs,3,3,4
