off_rb,assist,effective_field_goal,turn_over,season,age,team,field_goal,points,field_goal_total,minutes_played,position,def_rb,stats_type,steal,block,game_played
40,112,.545,55,2009-10,23,NYK,179,481,391,1087,PG,68,regular,42,3,56
65,244,.511,89,2010-11,24,NYK,314,856,755,1971,SG,179,regular,89,4,81
16,77,.371,56,2011-12,25,NYK,94,237,290,656,PG,56,regular,29,1,38
34,151,.491,81,2012-13,26,TOT,188,534,466,1289,PG,104,regular,71,3,71
23,93,.482,56,2012-13,26,HOU,139,399,352,913,PG,67,regular,40,2,49
11,58,.522,25,2012-13,26,SAC,49,135,114,376,PG,37,regular,31,1,22
18,68,.466,34,2013-14,27,TOT,73,202,190,675,PG,69,regular,19,5,51
4,19,.483,16,2013-14,27,GSW,32,88,86,265,PG,22,regular,6,2,24
14,49,.452,18,2013-14,27,MIA,41,114,104,410,PG,47,regular,13,3,27
2,24,.422,10,2014-15,28,NOP,19,51,51,177,SG,20,regular,11,4,12
25,157,.502,64,2015-16,29,NOP,183,531,445,1262,PG,118,regular,70,5,61
13,56,.397,21,2016-17,30,MEM,43,117,117,394,PG,48,regular,18,5,24
2,9,.451,4,2010-11,24,NYK,15,43,41,112,SG,11,playoffs,2,0,4
0,1,1.000,0,2011-12,25,NYK,1,2,1,8,PG,0,playoffs,0,0,1
1,5,.500,1,2013-14,27,MIA,3,10,9,29,PG,3,playoffs,0,0,10
