off_rb,assist,effective_field_goal,turn_over,season,age,team,field_goal,points,field_goal_total,minutes_played,position,def_rb,stats_type,steal,block,game_played
102,90,.424,77,2007-08,21,CHI,186,502,440,1330,PF,240,regular,48,72,74
148,77,.453,129,2008-09,22,CHI,308,857,683,2175,PF,360,regular,91,151,79
81,56,.462,92,2009-10,23,TOT,194,508,420,1220,PF-C,254,regular,63,85,54
42,33,.483,52,2009-10,23,CHI,99,256,205,678,PF,141,regular,40,48,29
39,23,.442,40,2009-10,23,CHA,95,252,215,542,C,113,regular,23,37,25
65,29,.471,65,2010-11,24,CHA,156,419,331,861,C,159,regular,30,66,41
49,35,.369,53,2011-12,25,CHA,120,304,327,1013,PF,151,regular,36,60,54
16,19,.364,17,2012-13,26,CHA,48,125,136,360,PF,44,regular,14,15,26
0,1,1.000,0,2014-15,28,MEM,1,4,1,7,PF,0,regular,0,0,2
8,6,.438,11,2008-09,22,CHI,28,67,64,195,PF,36,playoffs,7,20,7
6,2,.625,4,2009-10,23,CHA,15,35,24,68,C,16,playoffs,2,2,4
