off_rb,assist,effective_field_goal,turn_over,season,age,team,field_goal,points,field_goal_total,minutes_played,position,def_rb,stats_type,steal,block,game_played
107,68,.467,67,2007-08,27,MIA,237,589,507,1805,PF,336,regular,39,18,49
169,85,.518,82,2008-09,28,MIA,333,794,643,2560,PF,449,regular,43,25,75
167,52,.494,75,2009-10,29,MIA,312,771,632,2177,PF,462,regular,30,23,78
29,6,.512,14,2010-11,30,MIA,44,104,86,345,PF,77,regular,7,3,13
117,42,.423,60,2011-12,31,MIA,151,385,357,1589,PF,353,regular,35,24,64
97,38,.514,45,2012-13,32,MIA,129,290,251,1414,PF,307,regular,30,15,75
42,13,.507,24,2013-14,33,MIA,74,173,146,653,PF,133,regular,11,15,46
71,46,.452,41,2014-15,34,MIA,107,261,239,995,PF,187,regular,21,13,62
10,14,.385,5,2015-16,35,MIA,23,59,61,260,PF,65,regular,5,2,37
8,6,.478,8,2016-17,36,MIA,11,31,23,130,C,28,regular,6,1,16
13,3,.543,6,2008-09,28,MIA,25,59,46,204,PF,48,playoffs,3,3,7
9,4,.351,5,2009-10,29,MIA,13,30,37,142,PF,28,playoffs,1,1,5
13,9,.397,11,2010-11,30,MIA,27,63,68,290,PF,41,playoffs,6,4,12
37,13,.455,20,2011-12,31,MIA,40,106,88,452,PF,104,playoffs,5,6,22
26,6,.593,14,2012-13,32,MIA,51,110,86,357,PF,54,playoffs,15,5,22
12,4,.459,1,2013-14,33,MIA,17,40,37,169,PF,29,playoffs,1,3,16
11,4,.533,7,2015-16,35,MIA,8,21,15,85,PF,20,playoffs,0,1,9
