off_rb,assist,effective_field_goal,turn_over,season,age,team,field_goal,points,field_goal_total,minutes_played,position,def_rb,stats_type,steal,block,game_played
112,389,.494,181,2007-08,31,NJN,587,1622,1287,2959,SG,341,regular,93,33,76
74,376,.493,166,2008-09,32,NJN,588,1662,1345,2946,SG,336,regular,82,38,80
33,236,.486,106,2009-10,33,ORL,434,1244,1015,2310,SG,260,regular,53,18,75
54,146,.502,90,2010-11,34,TOT,389,1022,891,2051,SG,221,regular,67,20,73
11,64,.521,36,2010-11,34,ORL,125,333,266,664,SG,79,regular,20,3,22
43,82,.494,54,2010-11,34,PHO,264,689,625,1387,SG,142,regular,47,17,51
32,139,.480,84,2011-12,35,DAL,223,615,542,1542,SG,173,regular,56,25,61
58,194,.530,106,2012-13,36,DAL,372,1088,855,2093,SF,276,regular,74,44,81
67,212,.497,108,2013-14,37,DAL,330,967,811,1973,SG,217,regular,61,35,81
27,79,.417,43,2014-15,38,MEM,135,384,406,1091,SG,106,regular,43,14,66
31,56,.474,35,2015-16,39,MEM,133,395,343,1005,SG,115,regular,38,16,60
36,133,.508,50,2016-17,40,MEM,193,586,490,1799,SF,191,regular,60,36,73
9,32,.435,22,2009-10,33,ORL,74,217,184,480,SG,50,playoffs,12,3,14
5,1,.329,6,2011-12,35,DAL,12,33,41,107,SG,17,playoffs,5,2,4
7,17,.566,6,2013-14,37,DAL,31,88,68,190,SG,18,playoffs,3,2,7
13,11,.455,7,2014-15,38,MEM,27,69,67,196,SG,34,playoffs,7,2,11
5,5,.561,3,2015-16,39,MEM,15,45,33,91,SG,10,playoffs,2,1,4
4,9,.571,10,2016-17,40,MEM,20,55,42,195,SF,16,playoffs,2,0,6
