off_rb,assist,effective_field_goal,turn_over,season,age,team,field_goal,points,field_goal_total,minutes_played,position,def_rb,stats_type,steal,block,game_played
56,123,.562,73,2007-08,27,LAL,198,543,437,1483,SF,159,regular,46,12,65
45,81,.533,98,2008-09,28,TOT,196,540,466,1445,SF,177,regular,46,15,78
18,38,.584,47,2008-09,28,LAL,95,273,214,771,SF,99,regular,28,7,46
27,43,.490,51,2008-09,28,CHA,101,267,252,674,SF,78,regular,18,8,32
51,45,.432,44,2009-10,29,TOT,103,256,273,891,PF,127,regular,29,7,41
8,7,.417,5,2009-10,29,CHA,14,39,42,133,PF,21,regular,3,1,8
43,38,.435,39,2009-10,29,GSW,89,217,231,758,PF,106,regular,26,6,33
64,79,.541,57,2010-11,30,GSW,137,374,318,1169,PF,148,regular,44,44,74
34,54,.503,35,2011-12,31,ATL,74,220,197,755,SF,109,regular,21,15,49
10,8,.360,7,2012-13,32,CHI,13,33,43,144,PF,18,regular,8,4,25
23,31,.540,21,2007-08,27,LAL,67,168,151,481,SF,57,playoffs,13,1,21
0,1,.000,0,2011-12,31,ATL,0,0,4,15,SF,1,playoffs,0,0,2
0,1,1.500,1,2012-13,32,CHI,3,9,3,10,PF,0,playoffs,2,0,1
