off_rb,assist,effective_field_goal,turn_over,season,age,team,field_goal,points,field_goal_total,minutes_played,position,def_rb,stats_type,steal,block,game_played
33,74,.496,74,2009-10,22,MIN,190,505,448,1384,SG,126,regular,20,5,76
26,72,.463,53,2010-11,23,MIN,160,410,397,1181,SG,82,regular,28,3,62
14,33,.462,26,2011-12,24,MIN,122,311,302,973,SG,85,regular,26,10,51
25,104,.516,57,2012-13,25,TOT,226,614,529,1661,SG,141,regular,45,3,78
5,42,.510,24,2012-13,25,MEM,81,218,199,676,SG,47,regular,16,1,40
20,62,.520,33,2012-13,25,CLE,145,396,330,985,SG,94,regular,29,2,38
8,19,.536,11,2013-14,26,DAL,55,145,126,393,SG,35,regular,16,2,45
31,105,.485,50,2014-15,27,LAL,254,650,617,1675,SG,179,regular,33,2,65
20,83,.474,45,2015-16,28,BRK,218,586,561,1615,SG,154,regular,48,5,76
18,70,.550,30,2016-17,29,MIA,231,648,555,1500,SG,114,regular,35,4,62
0,2,.500,2,2013-14,26,DAL,2,8,6,14,SG,2,playoffs,0,0,2
