off_rb,assist,effective_field_goal,turn_over,season,age,team,field_goal,points,field_goal_total,minutes_played,position,def_rb,stats_type,steal,block,game_played
184,140,.470,186,2007-08,26,NYK,486,1217,1058,2244,C,526,regular,59,16,69
157,103,.494,114,2008-09,27,TOT,415,1041,873,1757,PF-C,347,regular,43,16,50
40,15,.452,23,2008-09,27,NYK,82,226,189,388,C,97,regular,13,3,11
117,88,.505,91,2008-09,27,LAC,333,815,684,1369,PF,250,regular,30,13,39
330,149,.494,174,2009-10,28,MEM,652,1681,1336,3051,PF,620,regular,80,34,81
326,163,.507,151,2010-11,29,MEM,598,1504,1188,2724,PF,588,regular,63,25,75
78,48,.467,40,2011-12,30,MEM,132,324,285,735,PF,147,regular,21,4,28
310,108,.461,150,2012-13,31,MEM,471,1169,1024,2607,PF,544,regular,61,31,76
265,200,.468,183,2013-14,32,MEM,560,1372,1198,2705,PF,530,regular,54,23,79
225,153,.491,156,2014-15,33,MEM,454,1143,932,2304,PF,522,regular,69,14,71
179,142,.479,105,2015-16,34,MEM,431,1040,907,2016,PF,350,regular,43,13,68
182,122,.460,99,2016-17,35,MEM,433,1028,964,1786,PF,416,regular,38,10,73
43,31,.451,27,2010-11,29,MEM,100,289,224,515,PF,98,playoffs,14,10,13
27,6,.420,11,2011-12,30,MEM,37,96,88,248,PF,42,playoffs,7,4,7
59,24,.460,31,2012-13,31,MEM,99,261,215,554,PF,91,playoffs,10,7,15
17,14,.404,10,2013-14,32,MEM,42,109,104,234,PF,35,playoffs,5,1,6
32,23,.426,23,2014-15,33,MEM,71,172,168,382,PF,61,playoffs,6,0,11
15,7,.371,7,2015-16,34,MEM,23,52,62,120,PF,20,playoffs,1,0,4
9,4,.428,7,2016-17,35,MEM,35,79,83,191,PF,40,playoffs,5,2,6
