Season,Lg,Team,W,L,W/L%,Finish,SRS,Pace,Rel_Pace,ORtg,Rel_ORtg,DRtg,Rel_DRtg,Playoffs,Coaches,Top WS,
2016-17,NBA,Chicago Bulls,41,41,.500,4,0.03,95.3,-1.1,107.4,-1.4,107.0,-1.8,Lost E. Conf. 1st Rnd.,F. Hoiberg (41-41),J. Butler (13.8),
2015-16,NBA,Chicago Bulls,42,40,.512,4,-1.46,95.7,-0.1,105.0,-1.4,106.5,0.1,,F. Hoiberg (42-40),J. Butler (9.1),
2014-15,NBA,Chicago Bulls,50,32,.610,2,2.54,92.8,-1.1,107.5,1.9,104.3,-1.3,Lost E. Conf. Semis,T. Thibodeau (50-32),J. Butler (11.2),
2013-14,NBA,Chicago Bulls,48,34,.585,2,1.20,90.2,-3.7,102.5,-4.2,100.5,-6.2,Lost E. Conf. 1st Rnd.,T. Thibodeau (48-34),J. Noah (11.2),
2012-13,NBA,Chicago Bulls,45,37,.549,2,-0.02,89.3,-2.7,103.5,-2.4,103.2,-2.7,Lost E. Conf. Semis,T. Thibodeau (45-37),J. Noah (7.3),
2011-12,NBA,Chicago Bulls,50,16,.758,1,7.43,89.1,-2.2,107.4,2.8,98.3,-6.3,Lost E. Conf. 1st Rnd.,T. Thibodeau (50-16),J. Noah (9.0),
2010-11,NBA,Chicago Bulls,62,20,.756,1,6.53,90.4,-1.7,108.3,1.0,100.3,-7.0,Lost E. Conf. Finals,T. Thibodeau (62-20),D. Rose (13.1),
2009-10,NBA,Chicago Bulls,41,41,.500,3,-1.64,93.1,0.4,103.5,-4.1,105.3,-2.3,Lost E. Conf. 1st Rnd.,V. Del Negro (41-41),J. Noah (6.2),
2008-09,NBA,Chicago Bulls,41,41,.500,2,-0.16,93.1,1.4,108.4,0.1,108.7,0.4,Lost E. Conf. 1st Rnd.,V. Del Negro (41-41),B. Gordon (6.9),
2007-08,NBA,Chicago Bulls,33,49,.402,4,-3.19,93.0,0.6,103.9,-3.6,107.2,-0.3,,S. Skiles (9-16), P. Myers (0-1), J. Boylan (24-32),B. Gordon (5.1),
