Season,Lg,Team,W,L,W/L%,Finish,SRS,Pace,Rel_Pace,ORtg,Rel_ORtg,DRtg,Rel_DRtg,Playoffs,Coaches,Top WS,
2016-17,NBA,Cleveland Cavaliers,51,31,.622,1,2.87,96.2,-0.2,113.6,4.8,110.3,1.5,Lost Finals,T. Lue (51-31),L. James (12.9),
2015-16,NBA,Cleveland Cavaliers,57,25,.695,1,5.45,93.3,-2.5,110.9,4.5,104.5,-1.9,Won Finals,D. Blatt (30-11), T. Lue (27-14),L. James (13.6),
2014-15,NBA,Cleveland Cavaliers,53,29,.646,1,4.08,92.3,-1.6,111.1,5.5,106.3,0.7,Lost Finals,D. Blatt (53-29),K. Irving (10.4),
2013-14,NBA,Cleveland Cavaliers,33,49,.402,3,-3.86,93.1,-0.8,104.2,-2.5,107.7,1.0,,M. Brown (33-49),K. Irving (6.7),
2012-13,NBA,Cleveland Cavaliers,24,58,.293,5,-4.87,92.3,0.3,104.3,-1.6,109.4,3.5,,B. Scott (24-58),K. Irving (5.3),
2011-12,NBA,Cleveland Cavaliers,21,45,.318,5,-7.34,91.3,0.0,101.1,-3.5,108.9,4.3,,B. Scott (21-45),K. Irving (4.1),
2010-11,NBA,Cleveland Cavaliers,19,63,.232,5,-8.88,93.0,0.9,102.2,-5.1,111.8,4.5,,B. Scott (19-63),R. Sessions (4.4),
2009-10,NBA,Cleveland Cavaliers,61,21,.744,1,6.17,91.4,-1.3,111.2,3.6,104.1,-3.5,Lost E. Conf. Semis,M. Brown (61-21),L. James (18.5),
2008-09,NBA,Cleveland Cavaliers,66,16,.805,1,8.68,88.7,-3.0,112.4,4.1,102.4,-5.9,Lost E. Conf. Finals,M. Brown (66-16),L. James (20.3),
2007-08,NBA,Cleveland Cavaliers,45,37,.549,2,-0.53,90.2,-2.2,106.0,-1.5,106.4,-1.1,Lost E. Conf. Semis,M. Brown (45-37),L. James (15.2),
