Season,Lg,Team,W,L,W/L%,Finish,SRS,Pace,Rel_Pace,ORtg,Rel_ORtg,DRtg,Rel_DRtg,Playoffs,Coaches,Top WS,
2016-17,NBA,Dallas Mavericks,33,49,.402,5,-2.53,92.2,-4.2,105.6,-3.2,108.8,0.0,,R. Carlisle (33-49),S. Curry (4.6),
2015-16,NBA,Dallas Mavericks,42,40,.512,2,-0.02,94.3,-1.5,106.7,0.3,107.0,0.6,Lost W. Conf. 1st Rnd.,R. Carlisle (42-40),D. Nowitzki (6.8),
2014-15,NBA,Dallas Mavericks,50,32,.610,4,3.36,95.2,1.3,109.5,3.9,106.4,0.8,Lost W. Conf. 1st Rnd.,R. Carlisle (50-32),T. Chandler (10.3),
2013-14,NBA,Dallas Mavericks,49,33,.598,4,2.91,93.5,-0.4,111.2,4.5,108.7,2.0,Lost W. Conf. 1st Rnd.,R. Carlisle (49-33),D. Nowitzki (10.9),
2012-13,NBA,Dallas Mavericks,41,41,.500,4,-0.24,94.1,2.1,105.9,0.0,106.5,0.6,,R. Carlisle (41-41),V. Carter (6.0),
2011-12,NBA,Dallas Mavericks,36,30,.545,3,1.78,91.4,0.1,103.3,-1.3,102.3,-2.3,Lost W. Conf. 1st Rnd.,R. Carlisle (36-30),D. Nowitzki (7.6),
2010-11,NBA,Dallas Mavericks,57,25,.695,2,4.41,91.3,-0.8,109.7,2.4,105.0,-2.3,Won Finals,R. Carlisle (57-25),D. Nowitzki (11.1),
2009-10,NBA,Dallas Mavericks,55,27,.671,1,2.66,92.5,-0.2,109.2,1.6,106.3,-1.3,Lost W. Conf. 1st Rnd.,R. Carlisle (55-27),D. Nowitzki (12.3),
2008-09,NBA,Dallas Mavericks,50,32,.610,3,1.68,91.5,-0.2,110.5,2.2,108.4,0.1,Lost W. Conf. Semis,R. Carlisle (50-32),D. Nowitzki (10.9),
2007-08,NBA,Dallas Mavericks,51,31,.622,4,4.70,90.2,-2.2,111.1,3.6,106.1,-1.4,Lost W. Conf. 1st Rnd.,A. Johnson (51-31),D. Nowitzki (12.9),
