Season,Lg,Team,W,L,W/L%,Finish,SRS,Pace,Rel_Pace,ORtg,Rel_ORtg,DRtg,Rel_DRtg,Playoffs,Coaches,Top WS,
2016-17,NBA,Denver Nuggets,40,42,.488,4,0.70,98.3,1.9,113.2,4.4,112.7,3.9,,M. Malone (40-42),N. Jokic (9.7),
2015-16,NBA,Denver Nuggets,33,49,.402,4,-2.81,95.7,-0.1,105.6,-0.8,108.9,2.5,,M. Malone (33-49),N. Jokic (6.7),
2014-15,NBA,Denver Nuggets,30,52,.366,4,-3.07,96.1,2.2,104.5,-1.1,108.2,2.6,,B. Shaw (20-39), M. Hunt (10-13),T. Lawson (7.0),
2013-14,NBA,Denver Nuggets,36,46,.439,4,-1.40,98.1,4.2,106.0,-0.7,108.2,1.5,,B. Shaw (36-46),K. Faried (6.5),
2012-13,NBA,Denver Nuggets,57,25,.695,2,5.37,95.1,3.1,110.4,4.5,105.1,-0.8,Lost W. Conf. 1st Rnd.,G. Karl (57-25),K. Faried (7.8),
2011-12,NBA,Denver Nuggets,38,28,.576,2,3.16,94.2,2.9,109.2,4.6,106.2,1.6,Lost W. Conf. 1st Rnd.,G. Karl (38-28),T. Lawson (6.9),
2010-11,NBA,Denver Nuggets,50,32,.610,2,4.81,95.6,3.5,112.3,5.0,107.3,0.0,Lost W. Conf. 1st Rnd.,G. Karl (50-32),N. Hilario (9.6),
2009-10,NBA,Denver Nuggets,53,29,.646,1,4.15,94.8,2.1,111.8,4.2,107.5,-0.1,Lost W. Conf. 1st Rnd.,G. Karl (53-29),N. Hilario (10.8),
2008-09,NBA,Denver Nuggets,54,28,.659,1,3.13,94.3,2.6,110.4,2.1,106.8,-1.5,Lost W. Conf. Finals,G. Karl (54-28),C. Billups (9.9),
2007-08,NBA,Denver Nuggets,50,32,.610,2,3.74,99.7,7.3,110.0,2.5,106.3,-1.2,Lost W. Conf. 1st Rnd.,G. Karl (50-32),A. Iverson (11.6),
